InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ
0,12.630620,12.630620,-4.371139E-08,1.5,-0.85,0,2.504478E-06,0
1,25.55054,12.91992,0.2409017,1.922353,1.023833,24.98321,-164.5873,-9.029816
2,29.38159,3.831055,-0.1511665,1.567419,1.136207,3.865766,171.2855,20.30885
3,43.74878,14.36719,-0.3682121,1.7975,1.03086,17.30749,157.3144,2.345085
4,64.10962,20.36084,-0.6228422,1.955658,0.7859583,27.10731,135.597,3.511164
5,67.39502,3.2854,-0.6174027,1.703739,0.9098053,11.75572,140.9034,-16.20093
6,79.44653,12.05151,-0.3120602,1.743885,1.068226,14.11595,161.2296,-0.1046448
7,92.66699,13.22046,-0.04120557,1.614322,1.142589,6.564517,177.6228,-20.90356
8,99.60547,6.938477,0.1328793,1.370496,1.132635,-7.440918,-172.2988,-5.789215
9,115.1882,15.58276,0.03569899,1.101623,1.066527,-23.47675,-177.7694,13.80421
10,124.1948,9.006592,0.01005246,1.216274,1.108853,-16.48267,-179.3994,3.454814
11,127.885,3.690186,-0.03577673,1.23441,1.113422,-15.40201,177.8733,24.77569
12,132.7297,4.844727,-0.3888496,1.6816,1.053226,10.46298,156.7076,12.50981
13,142.0649,9.335205,-0.7308517,1.497576,0.832532,-0.138855,133.042,-3.708954
14,146.6411,4.576172,-0.5686629,1.116434,0.8776672,-22.55475,141.9928,-6.749725
15,148.6118,1.970703,-0.1422592,0.9696759,0.9857743,-32.02737,170.3401,-9.658295
16,151.7527,3.140869,-0.07673328,1.259587,1.117633,-13.91095,175.4659,-7.118805
17,170.2866,18.53394,0.2946762,1.527945,1.105188,1.601315,-162.855,-17.46991
18,178.5173,8.230713,-0.1561475,1.095981,1.051325,-23.82965,170.1715,10.04256
19,182.772,4.254639,-0.08893876,0.8986525,0.9440221,-36.96649,173.6089,24.56585
20,186.7708,3.998779,-0.2400245,1.126226,1.045925,-21.94858,165.0022,16.72151
21,189.0979,2.327148,-0.2751725,1.063554,1.006618,-25.87738,162.1914,-2.015594
22,201.3389,12.24097,-0.165372,1.086363,1.045297,-24.43347,169.5347,22.6
23,206.4514,5.112549,-0.6184049,1.224427,0.8859583,-15.99619,139.9606,-4.564026
24,211.3076,4.856201,-0.3209983,1.073397,0.9955591,-25.25214,159.2118,21.96739
25,216.5085,5.200928,-0.5012914,1.325655,0.997532,-10.04059,149.3969,6.091793
26,220.4402,3.931641,-0.6981264,1.102497,0.7454919,-23.42218,130.4637,5.015316
27,225.5862,5.145996,-0.3585996,0.9404961,0.8972361,-34.02148,154.3636,-0.8401489
28,230.8782,5.291992,-0.4286002,1.345078,1.040113,-8.912292,154.2886,-20.94275
29,259.9126,29.03442,-0.460316,0.9352984,0.8349974,-34.38156,146.099,-10.06412
30,262.0518,2.13916,-0.5681056,0.9131988,0.7269926,-35.93033,135.4447,-25.07553
31,276.6531,14.60132,-0.2759961,1.277713,1.085101,-12.84338,163.556,-25.52576
32,283.5698,6.916748,0.216321,1.279648,1.101131,-12.72971,-167.1869,0.9477425
33,289.0164,5.446533,0.5768788,1.40021,0.9607112,-5.727112,-144.5654,21.32614
34,295.1873,6.170898,0.3061228,1.890499,1.018216,22.98553,-160.578,10.29319
35,305.6338,10.44653,0.6410077,2.00548,0.7275805,30.36322,-132.0205,6.711174
36,310.7458,5.112061,0.3034994,2.004814,0.9581158,30.31899,-159.4156,17.49599
37,318.821,8.075195,0.009630461,2.051694,0.9839911,33.48331,-179.3384,-9.348633
38,322.8308,4.009766,-0.2648661,1.762056,1.077994,15.19213,164.0703,17.56794
39,326.5732,3.742432,-0.4503826,1.925104,0.9351382,25.15726,150.1599,11.01638
