date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/11_14:42:48,0.003662109,-0.01357377,-0.05564261,0.2060571,3.211297,0.3245269,1.182105
2024/07/11_14:42:48,0.02368164,-0.01358037,-0.05563818,0.2061016,3.192845,0.3311299,1.189159
2024/07/11_14:42:48,0.04370117,-0.01357985,-0.05565781,0.2061223,3.188654,0.3204706,1.180547
2024/07/11_14:42:48,0.0637207,-0.01358548,-0.0557292,0.20614,3.185327,0.313605,1.182029
2024/07/11_14:42:48,0.08374023,-0.01357384,-0.05571253,0.2061716,3.198151,0.3021632,1.173526
2024/07/11_14:42:48,0.1037598,-0.01358128,-0.05570932,0.2061993,3.251544,0.312916,1.105105
2024/07/11_14:42:48,0.1237793,-0.01356974,-0.05571734,0.2061999,3.283739,0.3321372,1.129155
2024/07/11_14:42:48,0.1437988,-0.01355332,-0.05571254,0.2061821,3.282521,0.3282378,1.151132
2024/07/11_14:42:48,0.1638184,-0.01355246,-0.0556601,0.2061779,3.263333,0.3394634,1.177326
2024/07/11_14:42:48,0.1838379,-0.01357062,-0.0555983,0.2061639,3.225419,0.3440305,1.18086
2024/07/11_14:42:48,0.2036133,-0.01358366,-0.05563541,0.206175,3.211149,0.3379569,1.168395
2024/07/11_14:42:48,0.2236328,-0.01359302,-0.0556546,0.2061895,3.220763,0.3257893,1.168408
2024/07/11_14:42:48,0.2436523,-0.01358404,-0.05565944,0.2061883,3.231003,0.3060717,1.164688
2024/07/11_14:42:48,0.2636719,-0.01361195,-0.05564549,0.2061691,3.249544,0.2968766,1.152954
2024/07/11_14:42:48,0.2836914,-0.01362607,-0.055624,0.2061346,3.265899,0.2897756,1.128232
2024/07/11_14:42:48,0.3037109,-0.01361626,-0.05568996,0.206141,3.264904,0.296179,1.129688
2024/07/11_14:42:48,0.3237305,-0.01358966,-0.0556959,0.2061949,3.229183,0.2927705,1.159424
2024/07/11_14:42:48,0.34375,-0.01359483,-0.05569693,0.2062274,3.222644,0.2972779,1.144638
2024/07/11_14:42:48,0.3637695,-0.01359073,-0.05571036,0.2062291,3.241362,0.3107866,1.12288
2024/07/11_14:42:48,0.3837891,-0.01361409,-0.0557142,0.2062212,3.273345,0.3272583,1.119115
2024/07/11_14:42:48,0.4038086,-0.01362536,-0.05570492,0.2062536,3.296557,0.3257912,1.138921
2024/07/11_14:42:48,0.4238281,-0.01364125,-0.05567908,0.2063011,3.28486,0.3240656,1.146456
2024/07/11_14:42:48,0.4438477,-0.01365433,-0.05567075,0.2063234,3.27513,0.3220351,1.145763
2024/07/11_14:42:48,0.463623,-0.0136793,-0.05566148,0.206333,3.260781,0.3162839,1.145885
2024/07/11_14:42:48,0.4836426,-0.01370732,-0.05565397,0.206308,3.271102,0.3026432,1.137885
2024/07/11_14:42:48,0.5036621,-0.01374102,-0.05569875,0.2063245,3.291478,0.2963797,1.135245
2024/07/11_14:42:48,0.5236816,-0.01377277,-0.05571414,0.2063299,3.327911,0.2836727,1.134423
2024/07/11_14:42:48,0.5437012,-0.01380193,-0.0557256,0.2063341,3.34073,0.2824228,1.134135
2024/07/11_14:42:48,0.5637207,-0.01384854,-0.05572252,0.206311,3.349121,0.2774203,1.135767
2024/07/11_14:42:48,0.5837402,-0.01389381,-0.05573082,0.2062839,3.365893,0.2735251,1.138128
2024/07/11_14:42:48,0.6037598,-0.01394331,-0.05585431,0.2062714,3.427137,0.251975,1.156795
2024/07/11_14:42:49,0.6237793,-0.01396714,-0.0559306,0.2062624,3.466522,0.2458534,1.174651
2024/07/11_14:42:49,0.6437988,-0.01402007,-0.05607684,0.2062563,3.549127,0.2290663,1.179169
2024/07/11_14:42:49,0.6638184,-0.01405793,-0.05618253,0.2062368,3.621926,0.206864,1.161835
2024/07/11_14:42:49,0.6838379,-0.01409376,-0.05630532,0.2062194,3.70962,0.1841061,1.150922
2024/07/11_14:42:49,0.7036133,-0.01411749,-0.05643079,0.2062585,3.76957,0.1653754,1.153567
2024/07/11_14:42:49,0.7236328,-0.01413263,-0.05650144,0.206289,3.789956,0.1661771,1.152154
2024/07/11_14:42:49,0.7436523,-0.01414215,-0.05665258,0.2063345,3.877734,0.1542757,1.152217
2024/07/11_14:42:49,0.7636719,-0.01415457,-0.05682521,0.2063622,3.992601,0.1517694,1.164424
2024/07/11_14:42:49,0.7836914,-0.01417788,-0.05701728,0.2064008,4.104594,0.1275079,1.178904
2024/07/11_14:42:49,0.8037109,-0.01425863,-0.05727031,0.2064708,4.269824,0.07621538,1.172674
2024/07/11_14:42:49,0.8237305,-0.01432802,-0.05743297,0.206498,4.374166,0.02934592,1.154154
