date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/11_14:34:13,0.01098633,-0.01469084,-0.02983132,0.1927296,1.687739,-0.8865051,1.379181
2024/07/11_14:34:13,0.03088379,-0.01470018,-0.02981894,0.1927125,1.708907,-0.8803101,1.386741
2024/07/11_14:34:13,0.05090332,-0.01469619,-0.02978385,0.1927025,1.70602,-0.8732605,1.408887
2024/07/11_14:34:13,0.07092285,-0.01469192,-0.02975821,0.192713,1.682563,-0.8647156,1.421452
2024/07/11_14:34:14,0.09094238,-0.01469806,-0.02975343,0.1927186,1.659736,-0.8711243,1.415015
2024/07/11_14:34:14,0.1109619,-0.01471133,-0.02976223,0.1927185,1.650506,-0.87323,1.40216
2024/07/11_14:34:14,0.1309814,-0.01471919,-0.02978953,0.1927022,1.660032,-0.8719788,1.382196
2024/07/11_14:34:14,0.151001,-0.01472422,-0.02980551,0.1926886,1.682999,-0.868927,1.375124
2024/07/11_14:34:14,0.1708984,-0.01475224,-0.0297981,0.1926873,1.695527,-0.8588562,1.382316
2024/07/11_14:34:14,0.190918,-0.01477665,-0.02980644,0.1926991,1.691185,-0.8536072,1.386257
2024/07/11_14:34:14,0.2109375,-0.01477888,-0.02982728,0.1926943,1.687476,-0.8571167,1.391784
2024/07/11_14:34:14,0.230957,-0.01483592,-0.02986691,0.1927014,1.691439,-0.8570862,1.39749
2024/07/11_14:34:14,0.2509766,-0.01489006,-0.02991246,0.1926923,1.70529,-0.8753967,1.404466
2024/07/11_14:34:14,0.2709961,-0.01492078,-0.02993334,0.1926751,1.719203,-0.8821106,1.413356
2024/07/11_14:34:14,0.2908936,-0.0149592,-0.02994322,0.1926672,1.733362,-0.8901978,1.426497
2024/07/11_14:34:14,0.3109131,-0.01498269,-0.02993695,0.1926667,1.738891,-0.8975525,1.430746
2024/07/11_14:34:14,0.3309326,-0.01501711,-0.02992594,0.1926847,1.737394,-0.9078674,1.445662
2024/07/11_14:34:14,0.3509521,-0.01503503,-0.02994863,0.1927049,1.764435,-0.9367371,1.461201
2024/07/11_14:34:14,0.3709717,-0.015086,-0.02992232,0.1927431,1.75734,-0.9530029,1.454308
2024/07/11_14:34:14,0.3909912,-0.01512579,-0.02990877,0.1927804,1.762207,-0.9693909,1.442109
2024/07/11_14:34:14,0.4108887,-0.01513254,-0.02989973,0.1928065,1.762037,-0.9752808,1.452188
2024/07/11_14:34:14,0.4309082,-0.01515665,-0.02984943,0.19286,1.750044,-0.9819641,1.461048
2024/07/11_14:34:14,0.4509277,-0.01517788,-0.02981436,0.1928968,1.740222,-0.9785156,1.475459
2024/07/11_14:34:14,0.4709473,-0.01518777,-0.02985441,0.1929298,1.755919,-0.9773254,1.486401
2024/07/11_14:34:14,0.4909668,-0.01521551,-0.02989713,0.1929677,1.762676,-0.9635315,1.478763
2024/07/11_14:34:14,0.5109863,-0.01521561,-0.02994308,0.1929906,1.756245,-0.9701233,1.479012
2024/07/11_14:34:14,0.5308838,-0.01522306,-0.02999812,0.1930542,1.753778,-0.9726868,1.488924
2024/07/11_14:34:14,0.5509033,-0.01523494,-0.02997872,0.1931192,1.785793,-0.97995,1.481594
