date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/11_14:24:54,0.01782227,-0.02057069,-0.01619012,0.1588381,0.7769724,-2.313141,1.105655
2024/07/11_14:24:54,0.0378418,-0.02058167,-0.01619239,0.158855,0.7684721,-2.320374,1.083053
2024/07/11_14:24:54,0.05786133,-0.02057712,-0.01620254,0.1588347,0.7837035,-2.317444,1.054999
2024/07/11_14:24:54,0.07775879,-0.02059101,-0.01618783,0.1588304,0.7831563,-2.309753,1.056795
2024/07/11_14:24:54,0.09777832,-0.02060926,-0.0161577,0.1588391,0.7818097,-2.296265,1.083519
2024/07/11_14:24:54,0.1177979,-0.0206,-0.01613856,0.1588533,0.7667558,-2.284912,1.097062
2024/07/11_14:24:54,0.1378174,-0.02059354,-0.01612023,0.1588891,0.7472965,-2.28299,1.085046
2024/07/11_14:24:54,0.1578369,-0.02059608,-0.01613456,0.1589379,0.7442021,-2.28476,1.052183
2024/07/11_14:24:54,0.1778564,-0.02059537,-0.01616153,0.1589517,0.7489019,-2.286346,1.042887
2024/07/11_14:24:54,0.1977539,-0.02061368,-0.01618983,0.1589781,0.7745227,-2.283875,1.035342
2024/07/11_14:24:54,0.2177734,-0.02062443,-0.01621221,0.1590142,0.8015808,-2.275513,1.040489
2024/07/11_14:24:54,0.237793,-0.02063498,-0.01625478,0.1590383,0.8382367,-2.267944,1.046423
2024/07/11_14:24:54,0.2578125,-0.02066077,-0.01632865,0.1590456,0.8639604,-2.265778,1.05696
2024/07/11_14:24:54,0.277832,-0.02067784,-0.01638331,0.1590415,0.8832266,-2.267792,1.063168
2024/07/11_14:24:54,0.2978516,-0.02071384,-0.01648539,0.1590314,0.9253601,-2.28244,1.077051
2024/07/11_14:24:55,0.317749,-0.02076135,-0.01654796,0.1590558,0.9430473,-2.299652,1.078355
2024/07/11_14:24:55,0.3377686,-0.02079757,-0.01659267,0.1590858,0.9584926,-2.309967,1.082948
2024/07/11_14:24:55,0.3577881,-0.02082079,-0.01662017,0.1590982,0.9883783,-2.331055,1.078903
2024/07/11_14:24:55,0.3778076,-0.02082755,-0.01665645,0.1591035,0.9995618,-2.334045,1.083888
2024/07/11_14:24:55,0.3978271,-0.02082657,-0.01674051,0.1591161,1.041113,-2.347351,1.098912
2024/07/11_14:24:55,0.4178467,-0.02081409,-0.0167681,0.159144,1.083558,-2.355988,1.092825
2024/07/11_14:24:55,0.4377441,-0.02078549,-0.01680638,0.1591851,1.129491,-2.364685,1.086445
2024/07/11_14:24:55,0.4577637,-0.02075912,-0.01690878,0.1592396,1.181875,-2.362915,1.086551
2024/07/11_14:24:55,0.4777832,-0.02074325,-0.0169613,0.1592574,1.231972,-2.368652,1.097504
2024/07/11_14:24:55,0.4978027,-0.02071965,-0.01712147,0.1592952,1.353283,-2.390686,1.123523
2024/07/11_14:24:55,0.5178223,-0.02075158,-0.0173604,0.1593513,1.513101,-2.436279,1.14388
2024/07/11_14:24:55,0.5378418,-0.02090741,-0.01768447,0.1594399,1.737769,-2.559723,1.177813
2024/07/11_14:24:55,0.5578613,-0.02116258,-0.0182032,0.1595508,2.062722,-2.754913,1.202714
2024/07/11_14:24:55,0.5777588,-0.02142369,-0.01875215,0.1596414,2.279891,-2.879639,1.198244
2024/07/11_14:24:55,0.5977783,-0.02173501,-0.01933764,0.1598111,2.71271,-3.130859,1.174346
2024/07/11_14:24:55,0.6177979,-0.02207788,-0.02005854,0.1600466,3.130199,-3.3685,1.115841
2024/07/11_14:24:55,0.6378174,-0.02242237,-0.02078825,0.1602896,3.612772,-3.595642,1.027
2024/07/11_14:24:55,0.6578369,-0.02278338,-0.02170531,0.1605109,4.131151,-3.848022,0.9463328
2024/07/11_14:24:55,0.6778564,-0.02295578,-0.02219463,0.1606258,4.416301,-3.973358,0.9112061
2024/07/11_14:24:55,0.6977539,-0.02324324,-0.02332327,0.1607527,5.079498,-4.264679,0.8072317
2024/07/11_14:24:55,0.7177734,-0.02354931,-0.02443791,0.1610533,5.805696,-4.554016,0.6902907
2024/07/11_14:24:55,0.737793,-0.02381135,-0.02514476,0.1616433,6.26739,-4.756348,0.6815583
2024/07/11_14:24:55,0.7578125,-0.02375842,-0.02573928,0.1622228,6.524876,-4.951965,0.6415149
2024/07/11_14:24:55,0.777832,-0.02405451,-0.02601677,0.1625364,6.665473,-4.943542,0.5706056
2024/07/11_14:24:55,0.7978516,-0.02413859,-0.02679398,0.1629693,6.993224,-5.037964,0.4924614
2024/07/11_14:24:55,0.817749,-0.02414872,-0.02696295,0.1635821,7.173548,-5.102692,0.4919139
2024/07/11_14:24:55,0.8377686,-0.02418179,-0.02671907,0.16423,7.002514,-5.114014,0.4902427
2024/07/11_14:24:55,0.8577881,-0.02412162,-0.02671138,0.1646267,6.76533,-5.046509,0.4226746
2024/07/11_14:24:55,0.8778076,-0.02408548,-0.02674951,0.1646765,6.735578,-5.002716,0.4027403
2024/07/11_14:24:55,0.8978271,-0.02405083,-0.02670727,0.1649416,6.745103,-5.003113,0.3124781
2024/07/11_14:24:55,0.9178467,-0.02412883,-0.02668947,0.1648529,6.785116,-5.157166,0.1542226
2024/07/11_14:24:55,0.9377441,-0.02441267,-0.02670758,0.1646364,6.860117,-5.438202,-0.05197144
2024/07/11_14:24:55,0.9577637,-0.02456616,-0.02673657,0.164515,6.91099,-5.597504,-0.1609802
2024/07/11_14:24:55,0.9777832,-0.02494249,-0.02686501,0.1642703,7.03717,-5.944031,-0.4266052
