date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/11_14:50:27,0.01367188,-0.007518575,-0.0339432,0.1987243,-0.9130249,-0.002104164,2.250908
2024/07/11_14:50:27,0.03344727,-0.007530344,-0.03394284,0.1987202,-0.9008484,0.005160414,2.249023
2024/07/11_14:50:27,0.0534668,-0.007520592,-0.03395089,0.1987006,-0.8871765,0.006789641,2.265298
2024/07/11_14:50:27,0.07348633,-0.007525662,-0.0339452,0.1987128,-0.8977356,0.003127601,2.265485
2024/07/11_14:50:27,0.09350586,-0.007531388,-0.03394502,0.1987447,-0.9192505,-0.009796143,2.2653
2024/07/11_14:50:28,0.1135254,-0.007540845,-0.03395575,0.1987591,-0.9178467,-0.03067017,2.249424
2024/07/11_14:50:28,0.1335449,-0.007538892,-0.03397217,0.198758,-0.9139404,-0.03619385,2.241
2024/07/11_14:50:28,0.1535645,-0.007542361,-0.03398835,0.1987445,-0.8839417,-0.03686523,2.226269
2024/07/11_14:50:28,0.173584,-0.007532212,-0.03398626,0.1987268,-0.8657837,-0.03012085,2.230891
2024/07/11_14:50:28,0.1936035,-0.007505331,-0.03400521,0.1987379,-0.8670959,-0.02172852,2.245681
2024/07/11_14:50:28,0.213623,-0.007492496,-0.03399935,0.1987904,-0.887085,-0.002427975,2.259939
2024/07/11_14:50:28,0.2336426,-0.007493194,-0.03399754,0.1987979,-0.8924561,0.003343957,2.255849
2024/07/11_14:50:28,0.2536621,-0.007483777,-0.03406144,0.1988091,-0.8934326,-0.0078125,2.253645
2024/07/11_14:50:28,0.2736816,-0.007465055,-0.03404442,0.1988504,-0.8839417,-0.02371216,2.255574
2024/07/11_14:50:28,0.293457,-0.007483377,-0.03401078,0.1989114,-0.8363953,-0.01583862,2.167628
2024/07/11_14:50:28,0.3134766,-0.007483865,-0.03398154,0.1989387,-0.8009338,6.995957E-06,2.171292
2024/07/11_14:50:28,0.3334961,-0.007480362,-0.03395142,0.1989361,-0.7906189,-0.009765625,2.198801
2024/07/11_14:50:28,0.3535156,-0.007474238,-0.03390734,0.1989305,-0.7997742,-0.01177979,2.24734
2024/07/11_14:50:28,0.3735352,-0.007494405,-0.03383152,0.1989326,-0.8411255,-0.02230835,2.256935
2024/07/11_14:50:28,0.3935547,-0.007526324,-0.03378403,0.1989684,-0.8800049,-0.0397644,2.254663
2024/07/11_14:50:28,0.4135742,-0.007573109,-0.03377284,0.1990061,-0.896637,-0.06265259,2.267579
2024/07/11_14:50:28,0.4335938,-0.007583722,-0.03377619,0.1989946,-0.8923645,-0.07287598,2.28193
2024/07/11_14:50:28,0.4536133,-0.007599913,-0.03376897,0.1989719,-0.8837585,-0.09664917,2.285206
2024/07/11_14:50:28,0.4736328,-0.007621275,-0.03374432,0.1989511,-0.8638916,-0.104126,2.267536
2024/07/11_14:50:28,0.4936523,-0.007671456,-0.03375731,0.1989574,-0.8512878,-0.1121521,2.23556
2024/07/11_14:50:28,0.5136719,-0.007692457,-0.03380856,0.1989953,-0.8548279,-0.1199341,2.265714
2024/07/11_14:50:28,0.5334473,-0.007692108,-0.03382462,0.199002,-0.8560181,-0.1250916,2.274169
2024/07/11_14:50:28,0.5534668,-0.007708809,-0.03389726,0.1990222,-0.8186035,-0.1188049,2.260046
2024/07/11_14:50:28,0.5734863,-0.007702349,-0.0339826,0.1990204,-0.7484131,-0.1047363,2.244295
2024/07/11_14:50:28,0.5935059,-0.007698744,-0.03406351,0.1990752,-0.7225037,-0.09725952,2.24299
2024/07/11_14:50:28,0.6135254,-0.007680265,-0.03410413,0.1991465,-0.7015686,-0.07955933,2.258985
2024/07/11_14:50:28,0.6335449,-0.007676557,-0.03412929,0.199163,-0.6894226,-0.07522583,2.254278
2024/07/11_14:50:28,0.6535645,-0.00767288,-0.03420318,0.1991802,-0.6454468,-0.06970215,2.249482
2024/07/11_14:50:28,0.673584,-0.007678102,-0.03426954,0.1992228,-0.6278992,-0.07296753,2.24444
2024/07/11_14:50:28,0.6936035,-0.007721577,-0.0343318,0.1992886,-0.6047363,-0.08401489,2.227133
2024/07/11_14:50:28,0.713623,-0.007778602,-0.03442834,0.1993302,-0.5375977,-0.1036682,2.237909
2024/07/11_14:50:28,0.7336426,-0.00780897,-0.03448023,0.1993323,-0.5047913,-0.1100159,2.238191
2024/07/11_14:50:28,0.7536621,-0.007888229,-0.03460222,0.1993412,-0.4363708,-0.1459961,2.250935
2024/07/11_14:50:28,0.7736816,-0.007997504,-0.03472671,0.1993592,-0.3790894,-0.1943054,2.269727
2024/07/11_14:50:28,0.793457,-0.008101757,-0.03484605,0.1994079,-0.3209534,-0.2505188,2.293388
2024/07/11_14:50:28,0.8134766,-0.008190423,-0.03492514,0.1994723,-0.2984619,-0.3036804,2.300029
2024/07/11_14:50:28,0.8334961,-0.008237984,-0.03496108,0.1995015,-0.2815857,-0.3214417,2.309991
2024/07/11_14:50:28,0.8535156,-0.008313094,-0.03502884,0.1995347,-0.2405396,-0.354248,2.309872
2024/07/11_14:50:28,0.8735352,-0.008388089,-0.03510379,0.1995566,-0.2127991,-0.3759155,2.315517
2024/07/11_14:50:28,0.8935547,-0.008429578,-0.03511233,0.1995911,-0.2199402,-0.3738708,2.316484
2024/07/11_14:50:28,0.9135742,-0.008487762,-0.03506184,0.1996425,-0.2538452,-0.3804626,2.315739
2024/07/11_14:50:28,0.9335938,-0.008521095,-0.03498479,0.1996766,-0.3343811,-0.3721008,2.324166
2024/07/11_14:50:28,0.9536133,-0.00860425,-0.03478246,0.1997075,-0.4454956,-0.3941345,2.337437
2024/07/11_14:50:28,0.9736328,-0.008734304,-0.03451159,0.1996891,-0.6013489,-0.4306335,2.345026
2024/07/11_14:50:28,0.9936523,-0.008909557,-0.03430014,0.1995761,-0.7092896,-0.5053101,2.35663
2024/07/11_14:50:28,1.013672,-0.009018575,-0.03416885,0.1994815,-0.758728,-0.56604,2.347967
2024/07/11_14:50:28,1.033447,-0.009259284,-0.03387365,0.199346,-0.9512939,-0.6904907,2.341323
2024/07/11_14:50:28,1.053467,-0.009507524,-0.03358153,0.1991671,-1.158813,-0.8208618,2.354328
2024/07/11_14:50:28,1.073486,-0.00972058,-0.03317385,0.19898,-1.385254,-0.9217529,2.360607
2024/07/11_14:50:28,1.093506,-0.009887962,-0.03255938,0.1986671,-1.639679,-0.9778748,2.311819
2024/07/11_14:50:29,1.113525,-0.009970468,-0.03235974,0.1985196,-1.76059,-0.985321,2.314496
2024/07/11_14:50:29,1.133545,-0.0100605,-0.03200055,0.1981412,-1.9758,-1.005066,2.360755
2024/07/11_14:50:29,1.153564,-0.01011508,-0.03156865,0.1977934,-2.210144,-0.9920349,2.444847
2024/07/11_14:50:29,1.173584,-0.01015711,-0.03075055,0.1975122,-2.618164,-0.9828186,2.507336
