date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/11_14:12:30,0.009506226,-0.001050605,0.04937217,0.08273903,0.3028003,-0.6439819,0.7034894
2024/07/11_14:12:30,0.0295105,-0.001050726,0.04937633,0.08274017,0.2973847,-0.6324463,0.7150519
2024/07/11_14:12:31,0.04949951,-0.001043456,0.04937983,0.08272635,0.2993169,-0.6265564,0.7210037
2024/07/11_14:12:31,0.06950378,-0.001025628,0.04936443,0.08271596,0.2919702,-0.6174622,0.731223
2024/07/11_14:12:31,0.08950806,-0.001013791,0.04937098,0.08271276,0.2796373,-0.6184692,0.7271076
2024/07/11_14:12:31,0.1095123,-0.001011796,0.04938159,0.08271327,0.2731492,-0.6205139,0.7220032
2024/07/11_14:12:31,0.1295013,-0.001015175,0.04936775,0.08271076,0.2658913,-0.6268616,0.7117792
2024/07/11_14:12:31,0.1495056,-0.001023129,0.04935082,0.08269597,0.2888092,-0.6309204,0.7106568
2024/07/11_14:12:31,0.1695099,-0.001014976,0.04934892,0.08268296,0.2928098,-0.6238403,0.7232274
2024/07/11_14:12:31,0.1894989,-0.001006784,0.049352,0.08267938,0.2923428,-0.6235046,0.7249104
2024/07/11_14:12:31,0.2095032,-0.0009887367,0.04934567,0.0826866,0.2777097,-0.6226196,0.725794
2024/07/11_14:12:31,0.2295074,-0.0009768363,0.04935089,0.08269623,0.2773696,-0.6224365,0.7212631
2024/07/11_14:12:31,0.2495117,-0.0009501968,0.04928642,0.08270057,0.2813414,-0.6382141,0.7216152
2024/07/11_14:12:31,0.2695007,-0.0009723566,0.04926755,0.08273886,0.2965391,-0.633728,0.6906257
2024/07/11_14:12:31,0.289505,-0.0009651147,0.04924068,0.08273881,0.3374697,-0.6208191,0.6467801
2024/07/11_14:12:31,0.3095093,-0.0009534489,0.04924234,0.08274141,0.350081,-0.5959778,0.6483012
2024/07/11_14:12:31,0.3294983,-0.0009223893,0.04928577,0.08275919,0.3589946,-0.5803223,0.6839234
2024/07/11_14:12:31,0.3495026,-0.0009129159,0.04931469,0.08278024,0.3528666,-0.5754089,0.7060587
2024/07/11_14:12:31,0.3695068,-0.000934422,0.04934585,0.08281688,0.322368,-0.5693359,0.718591
2024/07/11_14:12:31,0.3895111,-0.0009942148,0.04931332,0.08281513,0.3160327,-0.6012573,0.697374
2024/07/11_14:12:31,0.4095001,-0.001032477,0.04929755,0.08280955,0.318936,-0.618866,0.6924697
2024/07/11_14:12:31,0.4295044,-0.001092084,0.04927922,0.08280742,0.3201129,-0.6463928,0.6956673
2024/07/11_14:12:31,0.4495087,-0.001131864,0.04928732,0.08281785,0.3127978,-0.6621399,0.7076045
2024/07/11_14:12:31,0.4695129,-0.001129663,0.04928831,0.08280365,0.3184627,-0.6590271,0.7187098
2024/07/11_14:12:31,0.489502,-0.001117222,0.04925001,0.08278415,0.323636,-0.6443787,0.7217883
2024/07/11_14:12:31,0.5095062,-0.001098804,0.04923144,0.08277597,0.3300648,-0.6381836,0.7359334
