date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/11_14:15:42,0.009399414,-0.01172338,-0.004220731,0.160885,1.02336,-1.182617,1.471579
2024/07/11_14:15:42,0.02941895,-0.01176545,-0.004209389,0.1609368,1.019415,-1.186737,1.477997
2024/07/11_14:15:42,0.04937744,-0.01176671,-0.004226179,0.1609443,1.038174,-1.189178,1.484109
2024/07/11_14:15:42,0.06939697,-0.01175241,-0.004244256,0.1609498,1.04171,-1.19101,1.480474
2024/07/11_14:15:42,0.0894165,-0.01178509,-0.004259453,0.1609457,1.041889,-1.172821,1.481355
2024/07/11_14:15:42,0.109375,-0.01178177,-0.004234442,0.1609775,1.033872,-1.175873,1.490808
2024/07/11_14:15:42,0.1293945,-0.01178116,-0.004260404,0.1610084,1.025082,-1.179382,1.501638
2024/07/11_14:15:42,0.1494141,-0.01176664,-0.004324331,0.1610338,1.035866,-1.167328,1.493443
2024/07/11_14:15:42,0.1693726,-0.01174617,-0.004324713,0.161092,1.056047,-1.178833,1.479901
2024/07/11_14:15:42,0.1893921,-0.01175801,-0.004313954,0.1611723,1.066876,-1.166412,1.44063
2024/07/11_14:15:42,0.2094116,-0.01175812,-0.004300441,0.1611827,1.088318,-1.163879,1.436273
2024/07/11_14:15:42,0.2294312,-0.01176518,-0.004305041,0.1612168,1.109234,-1.135651,1.464609
2024/07/11_14:15:42,0.2493896,-0.01176126,-0.004308051,0.161236,1.124461,-1.12561,1.506653
2024/07/11_14:15:42,0.2694092,-0.01178044,-0.004311201,0.1612672,1.121238,-1.131744,1.513047
2024/07/11_14:15:42,0.2894287,-0.01180445,-0.00431916,0.1612684,1.122681,-1.132202,1.51651
2024/07/11_14:15:42,0.3093872,-0.01184268,-0.004321303,0.1612682,1.120545,-1.154877,1.508311
2024/07/11_14:15:42,0.3294067,-0.01187219,-0.004333735,0.1612792,1.12313,-1.182434,1.528447
2024/07/11_14:15:42,0.3494263,-0.01193189,-0.004321168,0.1612724,1.135482,-1.206116,1.530534
2024/07/11_14:15:42,0.3693848,-0.01195995,-0.004258298,0.16128,1.144954,-1.218872,1.533885
2024/07/11_14:15:42,0.3894043,-0.01195661,-0.004212499,0.1613012,1.138231,-1.221466,1.533702
2024/07/11_14:15:42,0.4094238,-0.01193873,-0.004108061,0.1613413,1.126079,-1.216431,1.546171
2024/07/11_14:15:42,0.4293823,-0.01191741,-0.003981251,0.1613899,1.103163,-1.218567,1.578237
2024/07/11_14:15:42,0.4494019,-0.01191257,-0.003825252,0.1614658,1.068601,-1.224091,1.579926
2024/07/11_14:15:42,0.4694214,-0.0119095,-0.003705467,0.1615271,1.03027,-1.219574,1.562283
2024/07/11_14:15:42,0.4893799,-0.01193125,-0.003701966,0.1615608,1.02416,-1.209717,1.568274
2024/07/11_14:15:42,0.5093994,-0.01194214,-0.003625868,0.1615915,1.032574,-1.198578,1.588067
2024/07/11_14:15:42,0.5294189,-0.01195237,-0.003583893,0.1615973,1.018388,-1.187317,1.614755
2024/07/11_14:15:42,0.5493774,-0.01199496,-0.003599934,0.1616006,1.030152,-1.196228,1.619063
2024/07/11_14:15:42,0.569397,-0.01206787,-0.003629975,0.1616185,1.034969,-1.205597,1.605938
2024/07/11_14:15:42,0.5894165,-0.01209354,-0.003625128,0.1616279,1.032743,-1.210754,1.599659
2024/07/11_14:15:42,0.609375,-0.0121351,-0.003596109,0.1616624,1.015864,-1.22406,1.58873
2024/07/11_14:15:42,0.6293945,-0.01217642,-0.003646945,0.1616757,1.041885,-1.235077,1.589124
2024/07/11_14:15:42,0.6494141,-0.01223382,-0.003703894,0.1616862,1.07646,-1.240814,1.59655
2024/07/11_14:15:42,0.6693726,-0.01229492,-0.003814394,0.1617124,1.133733,-1.266541,1.60534
2024/07/11_14:15:42,0.6893921,-0.01232846,-0.003910385,0.1617327,1.183725,-1.281616,1.618463
2024/07/11_14:15:42,0.7094116,-0.01238886,-0.004073974,0.1617645,1.287076,-1.321808,1.606702
2024/07/11_14:15:42,0.7294312,-0.01241423,-0.00419201,0.1618338,1.345603,-1.337952,1.593751
2024/07/11_14:15:42,0.7493896,-0.01236467,-0.00429523,0.1619437,1.416005,-1.369019,1.592103
2024/07/11_14:15:42,0.7694092,-0.01233451,-0.004461262,0.1620439,1.53026,-1.388641,1.573856
2024/07/11_14:15:42,0.7894287,-0.01232376,-0.00457522,0.1620793,1.622236,-1.405609,1.574889
2024/07/11_14:15:42,0.8093872,-0.01230461,-0.004866796,0.1621804,1.825777,-1.433197,1.561522
2024/07/11_14:15:42,0.8294067,-0.01235841,-0.005247185,0.1623354,2.117543,-1.50589,1.578175
2024/07/11_14:15:42,0.8494263,-0.01260967,-0.006072526,0.1626036,2.566259,-1.648468,1.596221
2024/07/11_14:15:42,0.8693848,-0.01287102,-0.006962987,0.1628179,3.147331,-1.834076,1.576091
2024/07/11_14:15:42,0.8894043,-0.01307259,-0.007477725,0.1629579,3.50195,-1.951233,1.577648
2024/07/11_14:15:42,0.9094238,-0.01347975,-0.008684078,0.1632935,4.241665,-2.234924,1.617595
2024/07/11_14:15:42,0.9293823,-0.01394565,-0.009988217,0.1636707,5.067062,-2.566132,1.678487
2024/07/11_14:15:42,0.9494019,-0.01461427,-0.01134985,0.1641904,5.939552,-2.918457,1.681195
2024/07/11_14:15:42,0.9694214,-0.014941,-0.01204943,0.1644198,6.396759,-3.137115,1.639652
2024/07/11_14:15:42,0.9893799,-0.01567163,-0.01349636,0.1650279,7.313413,-3.553009,1.554183
2024/07/11_14:15:43,1.009399,-0.01629363,-0.0151955,0.1656673,8.242903,-4.01181,1.463656
2024/07/11_14:15:43,1.029419,-0.01697828,-0.01675139,0.166418,9.216889,-4.458954,1.302795
2024/07/11_14:15:43,1.049377,-0.01761696,-0.01822854,0.1673347,10.14005,-4.907898,1.07985
2024/07/11_14:15:43,1.069397,-0.0179178,-0.0189345,0.1678229,10.59235,-5.111115,0.9454191
2024/07/11_14:15:43,1.089417,-0.01848892,-0.02053295,0.1687181,11.5173,-5.471527,0.6604795
2024/07/11_14:15:43,1.109375,-0.01886129,-0.0220588,0.1697044,12.3801,-5.808563,0.4512943
2024/07/11_14:15:43,1.129395,-0.01921617,-0.02323299,0.1709388,13.01136,-6.016052,0.3107252
2024/07/11_14:15:43,1.149414,-0.01938041,-0.02433287,0.1721306,13.51742,-6.121857,0.205222
2024/07/11_14:15:43,1.169373,-0.01947813,-0.02486294,0.1727341,13.76668,-6.125305,0.1832864
2024/07/11_14:15:43,1.189392,-0.01947486,-0.02544846,0.1740233,13.99042,-6.072876,0.1582466
2024/07/11_14:15:43,1.209412,-0.01940152,-0.02571345,0.1751757,14.03251,-5.931885,0.1847813
2024/07/11_14:15:43,1.229431,-0.01923495,-0.02606843,0.1759868,14.04935,-5.716461,0.1892661
2024/07/11_14:15:43,1.24939,-0.0190746,-0.02643075,0.1765048,14.1572,-5.508423,0.1731903
2024/07/11_14:15:43,1.269409,-0.01897139,-0.02658037,0.1767087,14.21563,-5.403534,0.1671494
2024/07/11_14:15:43,1.289429,-0.01872824,-0.02661133,0.1771485,14.25694,-5.212524,0.1996149
2024/07/11_14:15:43,1.309387,-0.01856541,-0.02630002,0.1775692,14.04009,-5.050964,0.170699
2024/07/11_14:15:43,1.329407,-0.0183735,-0.02598406,0.1777844,13.7592,-4.918243,0.07643286
2024/07/11_14:15:43,1.349426,-0.01815857,-0.02577294,0.177913,13.5299,-4.803619,0.01401913
2024/07/11_14:15:43,1.369385,-0.01804075,-0.02550578,0.1778457,13.34036,-4.759491,-0.003318682
2024/07/11_14:15:43,1.389404,-0.01783479,-0.0241382,0.1776438,12.76885,-4.672241,-0.05953979
2024/07/11_14:15:43,1.409424,-0.01751901,-0.02327834,0.1772259,12.11905,-4.622589,-0.129425
2024/07/11_14:15:43,1.429382,-0.01724716,-0.02213375,0.1768529,11.50315,-4.537872,-0.2727356
2024/07/11_14:15:43,1.449402,-0.01691555,-0.02069653,0.1765142,10.66366,-4.408112,-0.3522034
2024/07/11_14:15:43,1.469421,-0.01672855,-0.01999782,0.1762309,10.24912,-4.344116,-0.421814
2024/07/11_14:15:43,1.48938,-0.01631547,-0.01865227,0.1754637,9.473297,-4.169189,-0.5391541
2024/07/11_14:15:43,1.509399,-0.01581931,-0.01721134,0.1747657,8.672663,-3.982941,-0.6520081
2024/07/11_14:15:43,1.529419,-0.01523886,-0.01555794,0.1741543,7.75254,-3.747406,-0.780304
2024/07/11_14:15:43,1.549377,-0.01447847,-0.01388179,0.1733432,6.786822,-3.462341,-0.9250793
2024/07/11_14:15:43,1.569397,-0.01410173,-0.01320074,0.1729093,6.316806,-3.268463,-1.017456
2024/07/11_14:15:43,1.589417,-0.01321533,-0.01155612,0.1720983,5.419549,-2.904633,-1.178833
2024/07/11_14:15:43,1.609375,-0.01229041,-0.009891884,0.1713355,4.437883,-2.516785,-1.332825
2024/07/11_14:15:43,1.629395,-0.01135021,-0.008245913,0.1704511,3.48615,-2.081238,-1.454559
2024/07/11_14:15:43,1.649414,-0.0103484,-0.006859794,0.1695751,2.618166,-1.6716,-1.633942
2024/07/11_14:15:43,1.669373,-0.009817701,-0.006152345,0.1691442,2.214417,-1.465057,-1.728424
2024/07/11_14:15:43,1.689392,-0.008653665,-0.004834236,0.168333,1.417821,-0.9490051,-1.86908
2024/07/11_14:15:43,1.709412,-0.007416932,-0.003362795,0.1674533,0.6010997,-0.4501343,-2.036743
2024/07/11_14:15:43,1.729431,-0.006251623,-0.002132079,0.1665924,-0.1619263,0.04916387,-2.223114
2024/07/11_14:15:43,1.74939,-0.005046701,-0.001170492,0.1656154,-0.8320007,0.5735734,-2.414185
2024/07/11_14:15:43,1.769409,-0.004378884,-0.000812367,0.1650541,-1.043182,0.8117529,-2.50174
2024/07/11_14:15:43,1.789429,-0.003280072,-0.0001131071,0.1641504,-1.45105,1.299588,-2.724976
2024/07/11_14:15:43,1.809387,-0.002102358,0.0004993809,0.1632193,-1.788086,1.746733,-2.919495
2024/07/11_14:15:43,1.829407,-0.001022324,0.0009905992,0.1623787,-2.069855,2.194904,-3.122253
2024/07/11_14:15:43,1.849426,-0.0005125683,0.001200338,0.1620109,-2.19751,2.391482,-3.21402
2024/07/11_14:15:43,1.869385,0.0005623065,0.001629667,0.1613535,-2.495514,2.761305,-3.409637
2024/07/11_14:15:43,1.889404,0.001657197,0.002115728,0.1606766,-2.752441,3.129028,-3.598633
2024/07/11_14:15:43,1.909424,0.002580574,0.002450404,0.1601522,-2.96347,3.491341,-3.782288
2024/07/11_14:15:43,1.929382,0.00347781,0.002805605,0.1596199,-3.142914,3.809427,-3.925262
2024/07/11_14:15:43,1.949402,0.003881562,0.002975137,0.1593903,-3.226196,3.955921,-3.991516
2024/07/11_14:15:43,1.969421,0.004661932,0.003121316,0.1589863,-3.350372,4.210668,-4.064728
2024/07/11_14:15:43,1.98938,0.005365843,0.003388663,0.1586463,-3.484802,4.425961,-4.152496
2024/07/11_14:15:44,2.009399,0.005832288,0.003654414,0.1584067,-3.671967,4.550735,-4.283539
2024/07/11_14:15:44,2.029419,0.006200561,0.003814765,0.1581932,-3.82309,4.5925,-4.390961
2024/07/11_14:15:44,2.049377,0.006310412,0.003896173,0.1580616,-3.873505,4.56183,-4.433319
2024/07/11_14:15:44,2.069397,0.006622577,0.004083279,0.157838,-3.977081,4.457985,-4.516449
2024/07/11_14:15:44,2.089417,0.006592374,0.004223216,0.1576995,-4.064301,4.266272,-4.564697
2024/07/11_14:15:44,2.109375,0.006289774,0.004365655,0.1575849,-4.176849,3.918322,-4.594849
2024/07/11_14:15:44,2.129395,0.005667765,0.004541073,0.1575177,-4.339905,3.405909,-4.595886
2024/07/11_14:15:44,2.149414,0.005071434,0.004802687,0.1575129,-4.442108,3.140183,-4.597046
2024/07/11_14:15:44,2.169373,0.004187681,0.00498982,0.1573749,-4.640503,2.485132,-4.603546
2024/07/11_14:15:44,2.189392,0.003069776,0.005372838,0.1572012,-4.802643,1.742322,-4.640869
2024/07/11_14:15:44,2.209412,0.001865799,0.005791845,0.1570608,-5.06134,0.9434366,-4.646484
2024/07/11_14:15:44,2.229431,0.0005105436,0.006139845,0.1568567,-5.349701,0.06442945,-4.629547
2024/07/11_14:15:44,2.24939,-0.0001853555,0.006319593,0.1566674,-5.446808,-0.407959,-4.613525
2024/07/11_14:15:44,2.269409,-0.001667883,0.006477192,0.1562397,-5.600464,-1.361023,-4.556213
2024/07/11_14:15:44,2.289429,-0.003164074,0.006747379,0.1558558,-5.673645,-2.317261,-4.551849
2024/07/11_14:15:44,2.309387,-0.004661683,0.00726273,0.1555424,-5.920258,-3.259094,-4.477417
2024/07/11_14:15:44,2.329407,-0.00613924,0.007647181,0.1551749,-6.240417,-4.183289,-4.418396
2024/07/11_14:15:44,2.349426,-0.006967771,0.007817011,0.1549699,-6.357239,-4.620148,-4.394623
2024/07/11_14:15:44,2.369385,-0.008515052,0.008196404,0.1545035,-6.575409,-5.553894,-4.295441
2024/07/11_14:15:44,2.389404,-0.01001039,0.008823276,0.1540529,-6.917969,-6.482056,-4.192566
2024/07/11_14:15:44,2.409424,-0.01153829,0.009498178,0.1536996,-7.370728,-7.319641,-4.088562
2024/07/11_14:15:44,2.429382,-0.01227444,0.009808975,0.1534536,-7.637573,-7.739502,-4.024475
2024/07/11_14:15:44,2.449402,-0.01378431,0.01056618,0.1530444,-8.168671,-8.564117,-3.929138
2024/07/11_14:15:44,2.469421,-0.01521727,0.0114617,0.1525877,-8.728455,-9.373169,-3.829712
2024/07/11_14:15:44,2.48938,-0.01670105,0.01256384,0.1522217,-9.413727,-10.16641,-3.765137
2024/07/11_14:15:44,2.509399,-0.01814174,0.0136184,0.1516418,-10.15308,-10.99396,-3.802277
2024/07/11_14:15:44,2.529419,-0.01938452,0.01453396,0.1510376,-10.80038,-11.82721,-3.796051
2024/07/11_14:15:44,2.549377,-0.02003992,0.01501063,0.1506888,-11.11002,-12.19037,-3.809174
2024/07/11_14:15:44,2.569397,-0.0212131,0.0158427,0.150053,-11.68591,-12.88953,-3.85437
2024/07/11_14:15:44,2.589417,-0.02240018,0.0167383,0.1493669,-12.27069,-13.66235,-3.940674
2024/07/11_14:15:44,2.609375,-0.02361015,0.01744828,0.1486168,-12.8287,-14.53568,-4.075958
2024/07/11_14:15:44,2.629395,-0.02412733,0.01772402,0.1482303,-13.05862,-14.95895,-4.134552
2024/07/11_14:15:44,2.649414,-0.02499504,0.01816092,0.1474797,-13.37845,-15.71783,-4.289917
2024/07/11_14:15:44,2.669373,-0.02570318,0.01880183,0.146867,-13.74628,-16.49606,-4.589447
2024/07/11_14:15:44,2.689392,-0.02601246,0.01899583,0.1465961,-13.93579,-16.79932,-4.723877
2024/07/11_14:15:44,2.709412,-0.02655453,0.01957331,0.145833,-14.34937,-17.65045,-5.103821
2024/07/11_14:15:44,2.72937,-0.02665981,0.01982054,0.1456307,-14.45929,-17.90292,-5.253082
2024/07/11_14:15:44,2.74939,-0.02678247,0.02020623,0.1453207,-14.71494,-18.3486,-5.610229
2024/07/11_14:15:44,2.769409,-0.0266982,0.0205363,0.1451321,-14.92059,-18.67178,-5.943481
2024/07/11_14:15:44,2.789429,-0.02661346,0.02079389,0.1448634,-15.10785,-18.95175,-6.234772
2024/07/11_14:15:44,2.809387,-0.02617987,0.02083766,0.1447912,-15.24463,-19.17801,-6.633179
2024/07/11_14:15:44,2.829407,-0.02592048,0.02080603,0.1447768,-15.29785,-19.28125,-6.839325
2024/07/11_14:15:44,2.849426,-0.0247781,0.02019311,0.1449152,-15.17471,-19.32947,-7.30246
2024/07/11_14:15:44,2.869385,-0.02387846,0.01957207,0.1449834,-14.91449,-19.32413,-7.912048
2024/07/11_14:15:44,2.889404,-0.0227425,0.01916922,0.1452878,-14.62888,-19.24673,-8.50354
2024/07/11_14:15:44,2.909424,-0.02142677,0.01883325,0.1457547,-14.39127,-19.02924,-9.090485
2024/07/11_14:15:44,2.929382,-0.02075119,0.01860855,0.1460313,-14.29028,-18.88602,-9.401001
2024/07/11_14:15:44,2.949402,-0.0193457,0.01803776,0.1467724,-14.05582,-18.50122,-9.980499
2024/07/11_14:15:44,2.969421,-0.01782449,0.01759509,0.1475468,-13.82819,-18.08185,-10.54614
2024/07/11_14:15:44,2.98938,-0.01618278,0.01714696,0.1483085,-13.64441,-17.65933,-11.07538
2024/07/11_14:15:45,3.009399,-0.01461517,0.01673996,0.1490832,-13.48065,-17.18954,-11.62289
2024/07/11_14:15:45,3.029419,-0.013805,0.01648339,0.1494668,-13.37802,-16.9686,-11.9014
2024/07/11_14:15:45,3.049377,-0.0122982,0.01590678,0.150155,-13.07877,-16.53738,-12.41898
2024/07/11_14:15:45,3.069397,-0.01095379,0.01525392,0.1508005,-12.75394,-16.15222,-12.93497
2024/07/11_14:15:45,3.089417,-0.009692004,0.01468574,0.1514437,-12.41516,-15.74002,-13.37857
2024/07/11_14:15:45,3.109375,-0.0084939,0.01410636,0.152091,-12.07257,-15.3623,-13.67688
2024/07/11_14:15:45,3.129395,-0.008016907,0.01393799,0.1523682,-11.90866,-15.18054,-13.78687
2024/07/11_14:15:45,3.149414,-0.007231424,0.01355,0.1529795,-11.66165,-14.88953,-13.90402
2024/07/11_14:15:45,3.169373,-0.006585067,0.01326761,0.1535284,-11.46259,-14.64499,-13.92245
2024/07/11_14:15:45,3.189392,-0.006158882,0.01305479,0.1538939,-11.29065,-14.42352,-13.88916
2024/07/11_14:15:45,3.209412,-0.006023304,0.01289819,0.1542272,-11.14059,-14.25177,-13.73721
2024/07/11_14:15:45,3.22937,-0.005966323,0.01280807,0.1543613,-11.06769,-14.17297,-13.65024
2024/07/11_14:15:45,3.24939,-0.005738773,0.01262895,0.1546604,-10.92834,-14.0448,-13.38654
2024/07/11_14:15:45,3.269409,-0.006104405,0.0126007,0.1546749,-10.86975,-14.05774,-13.07397
2024/07/11_14:15:45,3.289429,-0.006674349,0.01267667,0.1546928,-10.84171,-14.05975,-12.7388
2024/07/11_14:15:45,3.309387,-0.007238157,0.01270689,0.1546116,-10.74301,-14.01532,-12.30618
2024/07/11_14:15:45,3.329407,-0.007490299,0.01271934,0.154544,-10.68527,-13.92435,-12.0336
2024/07/11_14:15:45,3.349426,-0.007936327,0.01267376,0.15446,-10.52457,-13.65674,-11.49704
2024/07/11_14:15:45,3.369385,-0.008304564,0.01243926,0.1542871,-10.21063,-13.30246,-10.92383
2024/07/11_14:15:45,3.389404,-0.008497396,0.01171935,0.153886,-9.721985,-12.84656,-10.33887
2024/07/11_14:15:45,3.409424,-0.008729882,0.01121539,0.1539585,-9.225769,-12.332,-9.702026
2024/07/11_14:15:45,3.429382,-0.008814406,0.01130706,0.1539571,-9.060394,-12.05035,-9.418335
2024/07/11_14:15:45,3.449402,-0.009080466,0.011228,0.1539682,-9.079559,-11.40564,-8.884735
2024/07/11_14:15:45,3.469421,-0.009227389,0.01124595,0.1540741,-8.983978,-10.76169,-8.25
2024/07/11_14:15:45,3.48938,-0.009269346,0.01135347,0.1543404,-9.070953,-10.04324,-7.526184
2024/07/11_14:15:45,3.509399,-0.009317046,0.01201508,0.1545664,-9.532471,-9.334595,-6.831055
2024/07/11_14:15:45,3.529419,-0.00947455,0.01262793,0.1545316,-9.776672,-8.991577,-6.434174
2024/07/11_14:15:45,3.549377,-0.009677107,0.01309469,0.1543362,-10.22031,-8.438293,-5.807648
