date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/11_14:59:09,0.01123047,-0.02302099,-0.02379344,0.1757998,1.837221,-1.890442,0.9117237
2024/07/11_14:59:09,0.03100586,-0.02302762,-0.02379081,0.1757915,1.831422,-1.879822,0.8948617
2024/07/11_14:59:09,0.05102539,-0.02301508,-0.02381536,0.1757964,1.817583,-1.869812,0.9041358
2024/07/11_14:59:10,0.07104492,-0.02300126,-0.02383707,0.17582,1.804907,-1.865326,0.9178489
2024/07/11_14:59:10,0.09106445,-0.02299537,-0.02389063,0.1757959,1.846844,-1.84079,0.9088628
2024/07/11_14:59:10,0.111084,-0.02297443,-0.02390235,0.1757651,1.876207,-1.83548,0.8928647
2024/07/11_14:59:10,0.1311035,-0.02297078,-0.02389527,0.1757553,1.889474,-1.820953,0.9186524
2024/07/11_14:59:10,0.151123,-0.02295977,-0.02386041,0.1757639,1.878237,-1.809235,0.9412657
2024/07/11_14:59:10,0.1711426,-0.02293025,-0.02383943,0.1757855,1.846595,-1.813293,0.9470567
2024/07/11_14:59:10,0.1911621,-0.02294129,-0.02383711,0.1758092,1.827415,-1.817932,0.9366128
2024/07/11_14:59:10,0.2111816,-0.02294535,-0.02384317,0.1758141,1.821285,-1.826141,0.9273084
2024/07/11_14:59:10,0.2312012,-0.02296219,-0.02386868,0.1757905,1.8506,-1.836212,0.9173678
2024/07/11_14:59:10,0.2512207,-0.02297161,-0.02388744,0.1757707,1.879031,-1.846008,0.9127852
2024/07/11_14:59:10,0.2712402,-0.0229937,-0.02389573,0.1757533,1.891186,-1.846954,0.910259
2024/07/11_14:59:10,0.2910156,-0.02300883,-0.02388642,0.1757603,1.878957,-1.847473,0.9127612
2024/07/11_14:59:10,0.3110352,-0.0230194,-0.02386902,0.175773,1.871289,-1.842682,0.9188172
2024/07/11_14:59:10,0.3310547,-0.02304269,-0.02384645,0.1757855,1.858061,-1.834106,0.930124
2024/07/11_14:59:10,0.3510742,-0.02306207,-0.02381604,0.1757744,1.857977,-1.837555,0.9478913
2024/07/11_14:59:10,0.3710938,-0.02308915,-0.02379893,0.175775,1.850599,-1.848969,0.9542475
2024/07/11_14:59:10,0.3911133,-0.02313315,-0.02376208,0.1757594,1.855837,-1.862335,0.9525336
2024/07/11_14:59:10,0.4111328,-0.02315409,-0.023753,0.1757479,1.849142,-1.869415,0.9523106
2024/07/11_14:59:10,0.4311523,-0.02320099,-0.02370859,0.1757452,1.832215,-1.890442,0.9522523
2024/07/11_14:59:10,0.4511719,-0.02324798,-0.02369251,0.1757407,1.825405,-1.912323,0.9633537
2024/07/11_14:59:10,0.4711914,-0.02327845,-0.02368165,0.1757335,1.816319,-1.932129,0.9587887
2024/07/11_14:59:10,0.4912109,-0.02330108,-0.02368391,0.1757321,1.819827,-1.934692,0.9478926
2024/07/11_14:59:10,0.5112305,-0.02329829,-0.02369992,0.1757283,1.835058,-1.940033,0.9431717
2024/07/11_14:59:10,0.5310059,-0.02329799,-0.02371559,0.1757182,1.863652,-1.940399,0.9380178
