date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/11_15:08:00,0.01538086,-0.005113065,-0.03893614,0.1865474,0.4418795,-0.02246094,1.47546
2024/07/11_15:08:00,0.03540039,-0.005124623,-0.03890764,0.186524,0.4274082,-0.0138855,1.487829
2024/07/11_15:08:00,0.05541992,-0.005137992,-0.0388963,0.1865128,0.4149352,-0.01159668,1.493585
2024/07/11_15:08:00,0.07543945,-0.005156088,-0.03888387,0.1864698,0.4126211,-0.01589966,1.504957
2024/07/11_15:08:00,0.09545898,-0.005175077,-0.03886468,0.18644,0.4095533,-0.02072144,1.515239
2024/07/11_15:08:00,0.1154785,-0.005201224,-0.03879585,0.1864325,0.3949958,-0.03134155,1.508621
2024/07/11_15:08:01,0.135498,-0.005205859,-0.03878314,0.1864211,0.3935528,-0.04162598,1.502181
2024/07/11_15:08:01,0.1555176,-0.005217833,-0.03876169,0.1864004,0.3926477,-0.05197144,1.507298
2024/07/11_15:08:01,0.1755371,-0.005243817,-0.0387393,0.1863804,0.3852732,-0.0614624,1.50847
2024/07/11_15:08:01,0.1953125,-0.00526233,-0.03871325,0.1863864,0.373122,-0.06015015,1.502238
2024/07/11_15:08:01,0.215332,-0.005261377,-0.0387049,0.1863932,0.3681818,-0.05941772,1.494373
2024/07/11_15:08:01,0.2353516,-0.005261556,-0.03867199,0.1863822,0.3774384,-0.0536499,1.500295
2024/07/11_15:08:01,0.2553711,-0.00525534,-0.03866633,0.1863775,0.3854727,-0.05126953,1.50354
2024/07/11_15:08:01,0.2753906,-0.005250962,-0.03870814,0.1863936,0.3943038,-0.02926636,1.524933
2024/07/11_15:08:01,0.2954102,-0.005239925,-0.03873037,0.1863899,0.4072599,-0.01712036,1.519432
2024/07/11_15:08:01,0.3154297,-0.005232154,-0.03878121,0.1863754,0.410382,-0.01635742,1.504148
2024/07/11_15:08:01,0.3354492,-0.00520787,-0.03885519,0.1863789,0.4148478,-0.03302002,1.511879
2024/07/11_15:08:01,0.3554688,-0.005205289,-0.03883206,0.1863874,0.4144896,-0.03457642,1.495523
2024/07/11_15:08:01,0.3754883,-0.005212032,-0.03879498,0.186369,0.4457832,-0.01620483,1.415517
2024/07/11_15:08:01,0.3955078,-0.005189083,-0.03878202,0.186319,0.4941418,-0.004972665,1.427782
2024/07/11_15:08:01,0.4155273,-0.005166232,-0.03876499,0.1862657,0.4942962,0.007984051,1.461689
2024/07/11_15:08:01,0.4353027,-0.00513028,-0.03873272,0.1862303,0.4527205,0.01556041,1.480498
2024/07/11_15:08:01,0.4553223,-0.005137762,-0.03868759,0.1862268,0.4233907,0.02274011,1.473964
2024/07/11_15:08:01,0.4753418,-0.005148867,-0.03863267,0.1862087,0.3706495,0.01210217,1.482018
2024/07/11_15:08:01,0.4953613,-0.005162736,-0.03858139,0.1861825,0.3445558,0.006797476,1.466583
2024/07/11_15:08:01,0.5153809,-0.005178111,-0.03852783,0.1861426,0.3432552,-0.00604248,1.461315
2024/07/11_15:08:01,0.5354004,-0.005195884,-0.03848401,0.1860888,0.344081,-0.01254272,1.454782
2024/07/11_15:08:01,0.5554199,-0.005207634,-0.03846629,0.1860622,0.3392447,-0.01324463,1.445496
2024/07/11_15:08:01,0.5754395,-0.005206598,-0.03848489,0.1859953,0.3308842,-0.01831055,1.451403
2024/07/11_15:08:01,0.595459,-0.005201539,-0.03843759,0.1859637,0.2982895,-0.01428223,1.477881
2024/07/11_15:08:01,0.6154785,-0.00520152,-0.03838052,0.1859397,0.2700298,-0.007965088,1.453899
2024/07/11_15:08:01,0.635498,-0.005194196,-0.03827265,0.185893,0.2468202,0.01438328,1.426961
2024/07/11_15:08:01,0.6555176,-0.005193826,-0.03819945,0.18587,0.2226055,0.01686268,1.43004
2024/07/11_15:08:01,0.6755371,-0.005187268,-0.03806404,0.1858381,0.1618658,0.0167443,1.447872
2024/07/11_15:08:01,0.6953125,-0.00518388,-0.03792972,0.1857939,0.100347,0.01825626,1.458857
