InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ,tangX,tangY,tangZ
0,3.130981,3.130981,-4.371139E-08,1.5,1.15,0,180,0,1.570796,1.570796,0
1,8.443481,5.3125,-0.2409017,1.077647,-0.7238332,-24.98322,15.41268,-9.029816,2.006836,-1.839798,-9.029807
2,10.78345,2.339966,0.1511665,1.432581,-0.8362066,-3.865753,-8.714508,20.30885,1.638267,-1.418699,20.30885
3,12.86511,2.081665,0.368212,1.2025,-0.7308598,-17.3075,-22.68564,2.345085,1.872869,-1.174857,2.345085
4,15.64941,2.784302,0.6228421,1.044342,-0.4859584,-27.1073,-44.40302,3.511163,2.043908,-0.7958175,3.511164
5,18.17773,2.52832,0.6174026,1.296261,-0.6098055,-11.75571,-39.09662,-16.20093,1.775972,-0.8884317,-16.20091
6,23.18958,5.011841,0.3120601,1.256115,-0.7682258,-14.11594,-18.77039,-0.1046448,1.817166,-1.243191,-0.1046448
7,27.65503,4.465454,0.04120548,1.385678,-0.8425889,-6.564514,-2.377167,-20.90356,1.685369,-1.529307,-20.90355
8,31.93262,4.277588,-0.1328794,1.629504,-0.832635,7.440931,7.701252,-5.789215,1.440928,-1.705209,-5.789219
9,33.53662,1.604004,-0.03569906,1.898377,-0.7665267,23.47677,2.230565,13.80421,1.161049,-1.609727,13.80421
10,39.96313,6.426514,-0.01005255,1.783726,-0.8088528,16.48269,0.6006631,3.454815,1.283119,-1.58128,3.454815
11,44.40759,4.444458,0.03577665,1.76559,-0.813422,15.40201,-2.126709,24.77569,1.30198,-1.533678,24.77569
12,46.9928,2.585205,0.3888496,1.3184,-0.7532262,-10.46295,-23.29248,12.50981,1.75341,-1.164266,12.50981
13,49.48633,2.49353,0.7308517,1.502424,-0.5325321,0.1388715,-46.95801,-3.708954,1.568373,-0.7512243,-3.708966
14,53.10608,3.619751,0.5686628,1.883566,-0.5776672,22.55475,-38.00717,-6.749725,1.177142,-0.9074459,-6.749737
15,54.5647,1.458618,0.1422592,2.030324,-0.6857743,32.02735,-9.659882,-9.658295,1.011814,-1.4022,-9.658298
16,58.75317,4.188477,0.07673319,1.740414,-0.8176328,13.91096,-4.534058,-7.118805,1.328004,-1.491662,-7.118801
17,62.38354,3.630371,-0.2946762,1.472056,-0.8051884,-1.601318,17.14503,-17.46991,1.598744,-1.870034,-17.46991
18,66.58301,4.199463,0.1561475,1.904019,-0.751325,23.82965,-9.828491,10.04256,1.15489,-1.399257,10.04256
19,68.06396,1.480957,0.08893868,2.101348,-0.644022,36.96648,-6.391083,24.56585,0.9256095,-1.459251,24.56585
20,69.91248,1.848511,0.2400244,1.873774,-0.7459246,21.94859,-14.99774,16.72151,1.187721,-1.309036,16.72151
21,72.26294,2.350464,0.2751725,1.936446,-0.7066182,25.87736,-17.80862,-2.015594,1.119151,-1.259977,-2.015606
22,74.22339,1.960449,0.1653719,1.913637,-0.7452971,24.43349,-10.46524,22.6,1.144352,-1.388143,22.6
23,77.17468,2.951294,0.6184049,1.775574,-0.5859582,15.9962,-40.0394,-4.564026,1.29161,-0.8719773,-4.564034
24,79.2688,2.094116,0.3209983,1.926603,-0.695559,25.25216,-20.78818,21.96739,1.130063,-1.207974,21.96739
25,81.71912,2.450317,0.5012913,1.674346,-0.6975321,10.04058,-30.60312,6.091793,1.395555,-1.036671,6.091793
26,83.38928,1.670166,0.6981264,1.897503,-0.4454918,23.4222,-49.53629,5.015316,1.162002,-0.7062249,5.015316
27,85.32788,1.938599,0.3585995,2.059504,-0.597236,34.02152,-25.63641,-0.8401489,0.9770092,-1.123357,-0.8401566
28,87.33667,2.008789,0.4286001,1.654922,-0.7401129,8.912284,-25.71136,-20.94275,1.415248,-1.122048,-20.94274
29,89.67188,2.335205,0.4603159,2.064701,-0.5349976,34.38157,-33.90094,-10.06412,0.9707249,-0.979113,-10.06411
30,93.38013,3.708252,0.5681055,2.086801,-0.4269927,35.93034,-44.55533,-25.07553,0.9436937,-0.7931591,-25.07554
31,95.21875,1.838623,0.2759958,1.722287,-0.7851015,12.84339,-16.444,-25.52576,1.346637,-1.283794,-25.52575
32,97.53479,2.31604,-0.2163213,1.720352,-0.8011309,12.72971,12.81316,0.9477425,1.348621,-1.794428,0.9477425
33,99.70715,2.172363,-0.576879,1.59979,-0.6607111,5.727099,35.43459,21.32614,1.47084,-2.189246,21.32615
34,102.1793,2.472168,-0.306123,1.109501,-0.7182162,-22.98553,19.42207,10.29319,1.97197,-1.909775,10.29319
35,104.5968,2.41748,-0.641008,0.9945202,-0.4275803,-30.36322,47.97956,6.711175,2.100734,-2.408198,6.711175
36,106.9796,2.382813,-0.3034998,0.9951863,-0.6581157,-30.319,20.58441,17.49599,2.099962,-1.930062,17.49599
37,111.0691,4.089478,-0.009630932,0.9483062,-0.6839911,-33.48331,0.6616223,-9.348633,2.15519,-1.582344,-9.348618
38,112.8159,1.746826,0.2648655,1.237944,-0.7779939,-15.19211,-15.92966,17.56794,1.835949,-1.292771,17.56794
39,114.5308,1.714844,0.4503823,1.074896,-0.6351385,-25.15729,-29.84006,11.01638,2.009873,-1.049989,11.01638
