InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ,tangX,tangY,tangZ
0,3.776001,3.776001,-4.371139E-08,1.5,1.15,0,180,0,1.570796,1.570796,0
1,8.799438,5.023438,0.2409016,1.077647,1.023833,-24.98322,-164.5873,-9.029816,2.006836,1.301795,-9.029807
2,13.41077,4.611328,-0.1511666,1.432581,1.136207,-3.865753,171.2855,20.30885,1.638267,1.722893,20.30885
3,20.90637,7.495605,-0.3682121,1.2025,1.03086,-17.3075,157.3144,2.345085,1.872869,1.966735,2.345085
4,28.63562,7.729248,-0.6228423,1.044342,0.7859584,-27.1073,135.597,3.511163,2.043908,2.345775,3.511164
5,30.61841,1.982788,-0.6174028,1.296261,0.9098053,-11.75571,140.9034,-16.2009,1.775972,2.253161,-16.20091
6,34.58337,3.964966,-0.3120602,1.256115,1.068226,-14.11594,161.2296,-0.1046448,1.817166,1.898401,-0.1046448
7,39.03992,4.456543,-0.04120557,1.385678,1.142589,-6.564514,177.6228,-20.90356,1.685369,1.612286,-20.90355
8,44.67456,5.634644,0.1328793,1.629504,1.132635,7.440931,-172.2988,-5.789215,1.440928,1.436384,-5.789219
9,46.34485,1.670288,0.03569898,1.898377,1.066527,23.47677,-177.7694,13.80421,1.161049,1.531866,13.80421
10,49.74158,3.396729,0.01005246,1.783726,1.108853,16.48269,-179.3994,3.454815,1.283119,1.560313,3.454815
11,55.27747,5.535889,-0.03577673,1.76559,1.113422,15.40201,177.8733,24.77569,1.30198,1.607914,24.77569
12,57.78357,2.506104,-0.3888496,1.3184,1.053226,-10.46295,156.7076,12.50981,1.75341,1.977326,12.50981
13,62.53906,4.755493,-0.7308517,1.502424,0.832532,0.1388715,133.042,-3.708954,1.568373,2.390368,-3.708966
14,66.32629,3.787231,-0.5686629,1.883566,0.8776672,22.55475,141.9928,-6.749725,1.177142,2.234147,-6.749737
15,68.76514,2.438843,-0.1422592,2.030324,0.9857743,32.02735,170.3401,-9.658295,1.011814,1.739393,-9.658298
16,77.33069,8.565552,-0.07673328,1.740414,1.117633,13.91096,175.4659,-7.118805,1.328004,1.649931,-7.118801
17,81.45154,4.12085,0.2946762,1.472056,1.105188,-1.601318,-162.855,-17.46991,1.598744,1.271559,-17.46991
18,88.20081,6.749268,-0.1561475,1.904019,1.051325,23.82965,170.1715,10.04256,1.15489,1.742336,10.04256
19,89.71558,1.514771,-0.08893874,2.101348,0.9440219,36.96649,173.6089,24.56585,0.9256095,1.682342,24.56585
20,93.00098,3.2854,-0.2400245,1.873774,1.045925,21.94859,165.0022,16.72151,1.187721,1.832556,16.72151
21,95.81934,2.818359,-0.2751725,1.936446,1.006618,25.87736,162.1914,-2.015594,1.119151,1.881616,-2.015606
22,99.27209,3.452759,-0.165372,1.913637,1.045297,24.43348,169.5347,22.6,1.144352,1.753449,22.6
23,102.4681,3.196045,-0.6184049,1.775574,0.8859583,15.9962,139.9606,-4.564026,1.29161,2.269615,-4.564034
24,105.2987,2.830566,-0.3209983,1.926603,0.9955591,25.25216,159.2118,21.96739,1.130063,1.933619,21.96739
25,108.5165,3.217773,-0.5012914,1.674346,0.997532,10.04058,149.3969,6.091794,1.395555,2.104922,6.091793
26,111.0112,2.494751,-0.6981264,1.897503,0.7454919,23.4222,130.4637,5.015316,1.162002,2.435368,5.015316
27,116.146,5.134766,-0.3585996,2.059504,0.897236,34.02152,154.3636,-0.8401489,0.9770092,2.018236,-0.8401566
28,121.7706,5.624634,-0.4286002,1.654922,1.040113,8.912284,154.2886,-20.94275,1.415248,2.019545,-20.94274
29,129.9231,8.152466,-0.460316,2.064701,0.8349975,34.38156,146.099,-10.06412,0.9707249,2.16248,-10.06411
30,138.2427,8.31958,-0.5681056,2.086801,0.7269926,35.93034,135.4447,-25.07553,0.9436937,2.348434,-25.07554
31,140.4159,2.173218,-0.2759961,1.722287,1.085101,12.84338,163.556,-25.52576,1.346637,1.857799,-25.52575
32,144.3361,3.920166,0.216321,1.720352,1.101131,12.72971,-167.1869,0.9477425,1.348621,1.347165,0.9477425
33,146.6528,2.316772,0.5768788,1.59979,0.9607112,5.727098,-144.5654,21.32615,1.47084,0.9523466,21.32615
34,149.1251,2.47229,0.3061228,1.109501,1.018216,-22.98553,-160.578,10.29319,1.97197,1.231818,10.29319
35,152.01,2.884888,0.6410077,0.9945202,0.7275805,-30.36322,-132.0205,6.711176,2.100734,0.7333954,6.711175
36,154.6385,2.62854,0.3034994,0.9951863,0.9581158,-30.319,-159.4156,17.49599,2.099962,1.211531,17.49599
37,160.6864,6.047852,0.009630462,0.9483062,0.9839911,-33.48331,-179.3384,-9.348633,2.15519,1.559249,-9.348618
38,164.8293,4.142944,-0.2648661,1.237944,1.077994,-15.19211,164.0703,17.56794,1.835949,1.848822,17.56794
39,166.4335,1.604126,-0.4503826,1.074896,0.9351382,-25.15726,150.1599,11.01637,2.009873,2.091604,11.01638
