InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ,tangX,tangY,tangZ
0,1.976334,1.976334,-0.2409017,1.077647,1.023833,-24.98322,164.5873,-9.029816,2.006836,1.839798,-9.029807
1,3.797913,1.821579,0.1511665,1.432581,1.136207,-3.865753,-171.2855,20.30885,1.638267,1.418699,20.30885
2,5.175995,1.378082,0.368212,1.2025,1.03086,-17.3075,-157.3144,2.345085,1.872869,1.174857,2.345085
3,6.519455,1.34346,0.6228421,1.044342,0.7859584,-27.1073,-135.597,3.511163,2.043908,0.7958175,3.511164
4,7.659958,1.140503,0.6174026,1.296261,0.9098054,-11.75571,-140.9034,-16.2009,1.775972,0.8884317,-16.20091
5,8.672699,1.012741,0.3120601,1.256115,1.068226,-14.11594,-161.2296,-0.1046448,1.817166,1.243191,-0.1046448
6,10.28468,1.611984,0.04120548,1.385678,1.142589,-6.564514,-177.6228,-20.90356,1.685369,1.529307,-20.90355
7,11.42828,1.1436,-0.1328794,1.629504,1.132635,7.44093,172.2988,-5.789215,1.440928,1.705209,-5.789219
8,12.72754,1.299255,-0.03569906,1.898377,1.066527,23.47677,177.7694,13.80421,1.161049,1.609727,13.80421
9,13.64969,0.9221497,-0.01005255,1.783726,1.108853,16.48269,179.3993,3.454815,1.283119,1.58128,3.454815
10,15.22707,1.577377,0.03577665,1.76559,1.113422,15.40201,-177.8733,24.77569,1.30198,1.533678,24.77569
11,16.58197,1.354904,0.3888496,1.3184,1.053226,-10.46295,-156.7076,12.50981,1.75341,1.164266,12.50981
12,17.84842,1.266449,0.7308517,1.502424,0.832532,0.1388713,-133.042,-3.708954,1.568373,0.7512243,-3.708966
13,19.09195,1.24353,0.5686628,1.883566,0.8776672,22.55475,-141.9928,-6.749725,1.177142,0.9074459,-6.749737
14,20.41119,1.319244,0.1422592,2.030324,0.9857744,32.02735,-170.3401,-9.658295,1.011814,1.4022,-9.658298
15,21.57959,1.168396,0.07673319,1.740414,1.117633,13.91096,-175.4659,-7.118805,1.328004,1.491662,-7.118801
16,22.90323,1.323639,-0.2946762,1.472056,1.105188,-1.601318,162.855,-17.46991,1.598744,1.870034,-17.46991
17,24.29961,1.396378,0.1561475,1.904019,1.051325,23.82965,-170.1715,10.04256,1.15489,1.399257,10.04256
18,25.66728,1.367676,0.08893868,2.101348,0.9440219,36.96648,-173.6089,24.56585,0.9256095,1.459251,24.56585
19,27.09703,1.429749,0.2400244,1.873774,1.045925,21.94859,-165.0023,16.72151,1.187721,1.309036,16.72151
20,28.21089,1.113861,0.2751725,1.936446,1.006618,25.87735,-162.1914,-2.015594,1.119151,1.259977,-2.015606
21,30.72102,2.510132,0.1653719,1.913637,1.045297,24.43349,-169.5347,22.6,1.144352,1.388143,22.6
22,32.47598,1.754959,0.6184049,1.775574,0.8859583,15.9962,-139.9606,-4.564026,1.29161,0.8719773,-4.564034
23,33.98686,1.51088,0.3209983,1.926603,0.9955591,25.25216,-159.2118,21.96739,1.130063,1.207974,21.96739
24,35.27455,1.287689,0.5012913,1.674346,0.9975321,10.04058,-149.3969,6.091793,1.395555,1.036671,6.091793
25,36.67369,1.399139,0.6981264,1.897503,0.7454919,23.4222,-130.4637,5.015317,1.162002,0.7062249,5.015316
26,37.83185,1.158157,0.3585995,2.059504,0.897236,34.02152,-154.3636,-0.8401489,0.9770092,1.123357,-0.8401566
27,39.12852,1.296677,0.4286001,1.654922,1.040113,8.91228,-154.2886,-20.94275,1.415248,1.122048,-20.94274
28,40.62871,1.500183,0.4603159,2.064701,0.8349975,34.38156,-146.099,-10.06412,0.9707249,0.979113,-10.06411
29,42.74985,2.12114,0.5681055,2.086801,0.7269927,35.93033,-135.4447,-25.07553,0.9436937,0.7931591,-25.07554
30,44.64902,1.89917,0.2759958,1.722287,1.085101,12.84339,-163.556,-25.52576,1.346637,1.283794,-25.52575
31,46.25911,1.610092,-0.2163213,1.720352,1.101131,12.7297,167.1868,0.9477426,1.348621,1.794428,0.9477425
32,48.43591,2.176804,-0.576879,1.59979,0.960711,5.727099,144.5654,21.32614,1.47084,2.189246,21.32615
33,49.95534,1.519424,-0.306123,1.109501,1.018216,-22.98553,160.5779,10.29319,1.97197,1.909775,10.29319
34,51.37912,1.423782,-0.641008,0.9945202,0.7275803,-30.36319,132.0204,6.711177,2.100734,2.408198,6.711175
35,52.72397,1.344849,-0.3034998,0.9951863,0.9581157,-30.319,159.4156,17.49599,2.099962,1.930062,17.49599
36,54.43346,1.709488,-0.009630932,0.9483062,0.9839911,-33.48331,179.3384,-9.348633,2.15519,1.582344,-9.348618
37,55.82068,1.387222,0.2648655,1.237944,1.077994,-15.19211,-164.0703,17.56794,1.835949,1.292771,17.56794
38,57.16533,1.34465,0.4503823,1.074896,0.9351385,-25.15729,-150.1599,11.01638,2.009873,1.049989,11.01638
39,58.67522,1.509888,0.01785488,0.9378985,0.9768755,-34.20126,-178.763,2.554253,2.167721,1.549206,2.554254
