InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ,tangX,tangY,tangZ
0,4.514404,4.514404,-4.371139E-08,1.5,-0.85,0,2.504478E-06,0,1.570796,-1.570796,0
1,10.63794,6.123535,0.2409017,1.922353,1.023833,24.98321,-164.5873,-9.029816,1.134757,1.301795,-9.029807
2,12.55249,1.914551,-0.1511665,1.567419,1.136207,3.865766,171.2855,20.30885,1.503326,1.722893,20.30885
3,15.64966,3.097168,-0.3682121,1.7975,1.03086,17.30749,157.3144,2.345085,1.268724,1.966735,2.345085
4,19.34766,3.697998,-0.6228422,1.955658,0.7859583,27.10731,135.597,3.511164,1.097685,2.345775,3.511164
5,22.66675,3.319092,-0.6174027,1.703739,0.9098053,11.75572,140.9034,-16.20093,1.36562,2.253161,-16.20091
6,26.73218,4.06543,-0.3120602,1.743885,1.068226,14.11595,161.2296,-0.1046448,1.324427,1.898401,-0.1046448
7,29.68286,2.950684,-0.04120557,1.614322,1.142589,6.564517,177.6228,-20.90356,1.456224,1.612286,-20.90355
8,32.24512,2.562256,0.1328793,1.370496,1.132635,-7.440918,-172.2988,-5.789215,1.700665,1.436384,-5.789219
9,33.61523,1.370117,0.03569899,1.101623,1.066527,-23.47675,-177.7694,13.80421,1.980543,1.531866,13.80421
10,36.5647,2.949463,0.01005246,1.216274,1.108853,-16.48267,-179.3994,3.454814,1.858473,1.560313,3.454815
11,38.61572,2.051025,-0.03577673,1.23441,1.113422,-15.40201,177.8733,24.77569,1.839612,1.607914,24.77569
12,40.64307,2.027344,-0.3888496,1.6816,1.053226,10.46298,156.7076,12.50981,1.388183,1.977326,12.50981
13,42.5144,1.871338,-0.7308517,1.497576,0.832532,-0.138855,133.042,-3.708954,1.57322,2.390368,-3.708966
14,44.69727,2.182861,-0.5686629,1.116434,0.8776672,-22.55475,141.9928,-6.749725,1.964451,2.234147,-6.749737
15,46.323,1.625732,-0.1422592,0.9696759,0.9857743,-32.02737,170.3401,-9.658295,2.129779,1.739393,-9.658298
16,48.41724,2.094238,-0.07673328,1.259587,1.117633,-13.91095,175.4659,-7.118805,1.813588,1.649931,-7.118801
17,52.46973,4.05249,0.2946762,1.527945,1.105188,1.601315,-162.855,-17.46991,1.542848,1.271559,-17.46991
18,55.7124,3.242676,-0.1561475,1.095981,1.051325,-23.82965,170.1715,10.04256,1.986702,1.742336,10.04256
19,57.18262,1.470215,-0.08893876,0.8986525,0.9440221,-36.96649,173.6089,24.56585,2.215983,1.682342,24.56585
20,58.79663,1.614014,-0.2400245,1.126226,1.045925,-21.94858,165.0022,16.72151,1.953871,1.832556,16.72151
21,61.06982,2.273193,-0.2751725,1.063554,1.006618,-25.87738,162.1914,-2.015594,2.022441,1.881616,-2.015606
22,63.98804,2.918213,-0.165372,1.086363,1.045297,-24.43347,169.5347,22.6,1.997241,1.753449,22.6
23,66.62891,2.640869,-0.6184049,1.224427,0.8859583,-15.99619,139.9606,-4.564026,1.849983,2.269615,-4.564034
24,68.15332,1.524414,-0.3209983,1.073397,0.9955591,-25.25214,159.2118,21.96739,2.011529,1.933619,21.96739
25,69.69067,1.537354,-0.5012914,1.325655,0.997532,-10.04059,149.3969,6.091793,1.746037,2.104922,6.091793
26,71.33887,1.648193,-0.6981264,1.102497,0.7454919,-23.42218,130.4637,5.015316,1.979591,2.435368,5.015316
27,73.57788,2.239014,-0.3585996,0.9404961,0.8972361,-34.02148,154.3636,-0.8401489,2.164583,2.018236,-0.8401566
28,75.62671,2.048828,-0.4286002,1.345078,1.040113,-8.912292,154.2886,-20.94275,1.726345,2.019545,-20.94274
29,78.53418,2.907471,-0.460316,0.9352984,0.8349974,-34.38156,146.099,-10.06412,2.170868,2.16248,-10.06411
30,80.82886,2.294678,-0.5681056,0.9131988,0.7269926,-35.93033,135.4447,-25.07553,2.197899,2.348434,-25.07554
31,82.91162,2.082764,-0.2759961,1.277713,1.085101,-12.84338,163.556,-25.52576,1.794956,1.857799,-25.52575
32,86.02002,3.108398,0.216321,1.279648,1.101131,-12.72971,-167.1869,0.9477425,1.792972,1.347165,0.9477425
33,88.13477,2.114746,0.5768788,1.40021,0.9607112,-5.727112,-144.5654,21.32614,1.670753,0.9523466,21.32615
34,90.69702,2.562256,0.3061228,1.890499,1.018216,22.98553,-160.578,10.29319,1.169623,1.231818,10.29319
35,94.27197,3.574951,0.6410077,2.00548,0.7275805,30.36322,-132.0205,6.711174,1.040859,0.7333954,6.711175
36,96.69946,2.42749,0.3034994,2.004814,0.9581158,30.31899,-159.4156,17.49599,1.04163,1.211531,17.49599
37,99.15063,2.451172,0.009630461,2.051694,0.9839911,33.48331,-179.3384,-9.348633,0.9864025,1.559249,-9.348618
38,100.8206,1.669922,-0.2648661,1.762056,1.077994,15.19213,164.0703,17.56794,1.305644,1.848822,17.56794
39,102.5696,1.749023,-0.4503826,1.925104,0.9351382,25.15726,150.1599,11.01638,1.131719,2.091604,11.01638
