time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
   6.160000,   7.039405,   0.101953,8,   0.002930,   3.033756,   5.272705,1,0,0
   5.800000,   7.015757,   0.071647,12,   0.002838,   3.310187,   2.835555,0,2,2
   5.620000,   6.965589,   0.029851,12,   0.002103,   1.229437,   0.896938,0,0,0
   5.700000,   6.992695,   0.028954,12,   0.002115,   1.837668,   1.640266,0,1,1
   5.759990,   6.989426,   0.086045,12,   0.002080,   2.288105,   1.973548,0,1,1
   5.619990,   6.982374,   0.145648,11,   0.002196,   1.748441,   1.741355,2,0,0
   5.740050,   6.995204,   0.053645,11,   0.002251,   2.551355,   3.272054,0,1,1
   5.640000,   7.002277,   0.102991,14,   0.002172,   1.507086,   1.241599,0,0,0
   5.520100,   6.987838,   0.047324,12,   0.001702,   1.263893,   1.298428,0,1,1
   5.580100,   6.991764,   0.084052,11,   0.002016,   1.565027,   1.785435,0,0,0
