time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
   8.019852,   6.560247,   0.059617,13,   0.002884,   2.316289,   2.386964,0,1,1
   7.160000,   7.054377,   0.130218,12,   0.002991,   4.327257,   3.413564,1,4,4
   6.240000,   7.002184,   0.044658,14,   0.002339,   2.485682,   2.713373,0,1,1
   6.420000,   7.038461,   0.064589,14,   0.002535,   3.226419,   2.280541,0,2,2
   6.460010,   7.024839,   0.072244,13,   0.002735,   2.895194,   3.036480,0,3,3
   6.220000,   7.023074,   0.052230,13,   0.002706,   3.659283,   3.242803,0,2,2
   6.219980,   7.039363,   0.060055,11,   0.002565,   2.436888,   3.398533,0,1,1
   6.160100,   7.009294,   0.054098,11,   0.002111,   2.040233,   1.806189,0,1,1
   6.360000,   7.051173,   0.092581,12,   0.003070,   2.375445,   1.746547,1,3,3
   6.440000,   7.030656,   0.061790,13,   0.002945,   3.205967,   3.208983,0,2,2
