time,phase,posX,posY,posZ,rotX,rotY,rotZ
0,0,-0.07302032,1.527562,-0.7491126,-9.861877,2.718049,0.6717096
0.01412964,0,-0.07301122,1.52729,-0.7478728,-9.686035,2.718681,0.6982282
0.0279541,0,-0.07298099,1.527043,-0.7465913,-9.532928,2.711749,0.7279412
0.04266357,0,-0.07301576,1.526792,-0.7452908,-9.406372,2.722238,0.7599814
0.05627441,0,-0.07310298,1.526534,-0.7439111,-9.290985,2.716555,0.7903489
0.06964111,0,-0.07323331,1.526271,-0.7425076,-9.170319,2.710425,0.8082957
0.08381653,0,-0.07332225,1.525964,-0.7410853,-9.051483,2.707824,0.8242167
0.09790039,0,-0.07341532,1.525678,-0.7396566,-8.906158,2.702043,0.8452324
0.1115112,0,-0.07355757,1.525355,-0.73818,-8.770538,2.705365,0.8364742
0.1246033,0,-0.07373533,1.5251,-0.7367014,-8.605896,2.699879,0.8441723
0.1390839,0,-0.07393666,1.524821,-0.7351626,-8.467529,2.701083,0.8524118
0.1532898,0,-0.07409725,1.52453,-0.7336686,-8.323151,2.695282,0.8703692
0.1664429,0,-0.07429056,1.524254,-0.7321491,-8.180267,2.697114,0.8701503
0.1810303,0,-0.07455251,1.523998,-0.730577,-8.057098,2.706298,0.8673825
0.1947937,0,-0.0748769,1.523764,-0.7289476,-7.94278,2.712294,0.8513395
0.2082672,0,-0.07520156,1.523569,-0.7273011,-7.829559,2.70628,0.8469189
0.2229156,0,-0.07546331,1.523393,-0.7256521,-7.71463,2.714166,0.8599331
0.2366028,0,-0.07575299,1.523287,-0.7239772,-7.582916,2.725225,0.869058
0.2498016,0,-0.07611227,1.523079,-0.7222708,-7.465851,2.728111,0.8744704
0.2642365,0,-0.0765309,1.522791,-0.7204942,-7.327057,2.728432,0.9028603
0.2783508,0,-0.07693619,1.522501,-0.7186837,-7.18335,2.726107,0.9243229
0.2920227,0,-0.07730988,1.522162,-0.7168866,-7.042267,2.720336,0.9177052
0.3054047,0,-0.07779337,1.52178,-0.7149606,-6.878265,2.746856,0.90703
0.3199158,0,-0.07829995,1.521367,-0.7130325,-6.683685,2.74636,0.8805928
0.3339691,0,-0.07885025,1.520872,-0.7110242,-6.45166,2.750682,0.8566111
0.3472137,0,-0.07943849,1.52032,-0.7089826,-6.181458,2.767455,0.8199688
0.3614807,0,-0.07999076,1.519648,-0.7069205,-5.872253,2.773485,0.7830985
0.375885,0,-0.08061203,1.518974,-0.7048322,-5.510864,2.787665,0.7482768
0.3891907,0,-0.08124033,1.518173,-0.7026396,-5.128387,2.795167,0.7289969
0.4034576,0,-0.08195068,1.517301,-0.7003555,-4.735779,2.822534,0.699342
0.4174042,0,-0.08263093,1.51637,-0.6980885,-4.316986,2.826888,0.6885185
0.4305725,0,-0.08334956,1.515461,-0.6958082,-3.886536,2.848554,0.6779811
0.4451752,0,-0.08411172,1.514629,-0.693469,-3.433716,2.851224,0.6607546
0.4591217,0,-0.08485721,1.513828,-0.6910536,-2.978821,2.84447,0.6949151
0.473053,0,-0.08567995,1.513016,-0.6886449,-2.492767,2.834397,0.7153369
0.4864502,0,-0.08662991,1.512119,-0.686264,-1.981415,2.816517,0.7333055
0.500824,0,-0.08762139,1.511135,-0.6838276,-1.475494,2.813413,0.7374097
0.5149994,0,-0.08856492,1.510123,-0.6813085,-0.9857788,2.798003,0.7357467
0.5283508,0,-0.08955055,1.509145,-0.6787468,-0.4743652,2.7807,0.7300172
0.5426178,0,-0.09055258,1.508129,-0.6761729,0.06371556,2.740362,0.7148742
