time,phase,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,miss,out
0,0,-0.0328973,1.494383,-0.2646703,-1.679321,-1.274109,1.871147,-0.02222615,0.02930565,0.9993234,0,0
0.0171814,0,-0.03212671,1.493801,-0.261598,-1.52124,-1.264465,1.872172,-0.02205971,0.02654745,0.9994041,0,0
0.03651428,0,-0.03164555,1.49349,-0.2599246,-1.433533,-1.256622,1.838675,-0.02192361,0.02501736,0.9994466,0,0
0.05184937,0,-0.03064838,1.492874,-0.2566564,-1.247375,-1.243561,1.792137,-0.02169748,0.02176926,0.9995276,0,0
0.07133484,0,-0.03005788,1.492519,-0.2549105,-1.127228,-1.231506,1.766267,-0.02148804,0.01967259,0.9995756,0,0
0.08612061,0,-0.02891175,1.491754,-0.2513929,-0.8734131,-1.206757,1.704806,-0.02105812,0.0152432,0.999662,0,0
0.10289,0,-0.02762355,1.490863,-0.247629,-0.6371155,-1.171448,1.58694,-0.02044312,0.0111193,0.9997292,0,0
0.121521,0,-0.02689388,1.490481,-0.2455808,-0.5194702,-1.134094,1.507851,-0.01979148,0.009066456,0.999763,0,0
0.1386108,0,-0.02552038,1.489679,-0.2413123,-0.3395081,-1.068695,1.398219,-0.01865062,0.005925284,0.9998085,0,0
0.1559296,0,-0.02470598,1.489261,-0.2390365,-0.2453003,-1.054962,1.377575,-0.01841159,0.004281191,0.9998213,0,0
0.1721344,0,-0.02311703,1.48826,-0.2344232,-0.04443359,-1.002869,1.331954,-0.01750253,0.0007752935,0.9998465,0,0
0.1900635,0,-0.02226193,1.487587,-0.2319906,0.0914318,-0.9728088,1.341667,-0.01697804,-0.001595785,0.9998546,0,0
0.207489,0,-0.02050398,1.486373,-0.2271512,0.3994603,-0.9105835,1.349978,-0.01589181,-0.006971842,0.9998494,0,0
0.2242432,0,-0.0196164,1.485516,-0.2245387,0.5873616,-0.8582458,1.382189,-0.01497805,-0.01025121,0.9998353,0,0
0.2411804,0,-0.01774354,1.484108,-0.2193402,0.9277771,-0.7950745,1.402233,-0.01387419,-0.01619206,0.9997726,0,0
0.2583466,0,-0.01674405,1.483224,-0.2164706,1.060269,-0.766571,1.434092,-0.01337666,-0.01850412,0.9997393,0,0
0.2740021,0,-0.01476537,1.481567,-0.2106284,1.347307,-0.7200928,1.503416,-0.01256439,-0.02351278,0.9996446,0,0
0.2910614,0,-0.01377821,1.480924,-0.2073567,1.478761,-0.7455444,1.564962,-0.01300734,-0.02580638,0.9995824,0,0
0.3073578,0,-0.01198523,1.479213,-0.2007402,1.700024,-0.7975464,1.57315,-0.01391308,-0.02966667,0.999463,0,0
0.3237762,0,-0.01104859,1.478344,-0.1972019,1.868909,-0.8469543,1.551436,-0.01477397,-0.03261283,0.9993588,0,0
0.3400574,0,-0.009466663,1.476391,-0.18983,2.180215,-0.85849,1.507361,-0.01497205,-0.03804275,0.9991639,0,0
0.3563385,0,-0.008774176,1.475128,-0.1857362,2.333959,-0.8820801,1.411278,-0.01538173,-0.040724,0.999052,0,0
0.3724976,0,-0.007497564,1.472967,-0.1773327,2.626022,-0.88974,1.238136,-0.01551216,-0.04581669,0.9988294,0,0
0.3891144,0,-0.006995238,1.472331,-0.1726547,2.839664,-0.8933105,1.092301,-0.01557129,-0.04954119,0.9986507,0,0
0.4050293,0,-0.006535679,1.471724,-0.1678655,3.070041,-0.9024963,0.9444364,-0.01572836,-0.05355669,0.9984409,0,0
