time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01989746,0.005118936,1.493594,-0.0149779,2.255697,177.2089,-0.1933289,0.04865656,-0.03935917,-0.99804,2.296355,0,0,0
0.03991699,0.005487964,1.493599,-0.01318917,2.30357,177.2083,-0.22229,0.04866518,-0.04019405,-0.9980062,2.824939,0,0,0
0.05993652,0.005757511,1.493636,-0.01241675,2.262107,177.2585,-0.2321472,0.04779326,-0.03947096,-0.9980772,2.82279,0,0,0
0.07989502,0.006255701,1.493688,-0.01060155,2.221504,177.369,-0.219696,0.04586933,-0.03876285,-0.9981953,2.769373,0,0,0
0.09991455,0.006493151,1.493641,-0.009615213,2.212671,177.4339,-0.1471863,0.04473809,-0.0386088,-0.9982527,2.652399,0,0,0
0.1199341,0.006709933,1.493888,-0.008535117,2.224297,177.4811,-0.1291504,0.04391643,-0.03881156,-0.9982811,2.584144,0,0,0
0.1398926,0.007310912,1.494033,-0.006266266,2.229983,177.6223,-0.1795349,0.04145597,-0.03891072,-0.9983826,2.534123,0,0,0
0.1599121,0.007615998,1.494096,-0.005040914,2.23689,177.7013,-0.209198,0.04007827,-0.03903118,-0.9984342,2.384908,0,0,0
0.1799316,0.007946461,1.494146,-0.003825396,2.217441,177.7597,-0.2169189,0.03906095,-0.03869199,-0.9984877,2.301633,0,0,0
0.1999512,0.008568689,1.494396,-0.001311451,2.177157,177.881,-0.2087402,0.03694809,-0.03798942,-0.998595,2.23922,0,0,0
0.2199097,0.009321526,1.494831,0.001425773,1.99791,178.0224,-0.187561,0.03448783,-0.03486304,-0.9987969,2.110256,0,0,0
0.2399292,0.009689346,1.494979,0.002905101,1.899026,178.078,-0.1845398,0.03351978,-0.03313819,-0.9988889,1.959746,0,0,0
0.2599487,0.01002529,1.495113,0.004437476,1.831335,178.121,-0.1528015,0.0327714,-0.03195738,-0.9989519,1.900119,0,0,0
0.2799072,0.01090829,1.495523,0.007530242,1.721008,178.2084,-0.1074829,0.03125037,-0.03003273,-0.9990603,1.853297,0,0,0
0.2999268,0.01140763,1.495584,0.009169608,1.65874,178.2496,-0.09014893,0.03053333,-0.02894643,-0.9991145,1.75736,0,0,0
0.3199463,0.01241826,1.495938,0.01257363,1.587712,178.3208,-0.02209473,0.02929226,-0.02770726,-0.9991869,1.711551,0,0,0
0.3399048,0.01300634,1.496179,0.01434883,1.565747,178.3211,0.03284969,0.02928729,-0.02732404,-0.9991978,1.630989,0,0,0
0.3599243,0.01420602,1.496367,0.01796195,1.477409,178.3186,0.07020391,0.02933147,-0.0257828,-0.9992371,1.626303,0,0,0
0.3799438,0.01487008,1.496494,0.01991931,1.457003,178.3035,0.0574888,0.02959639,-0.02542675,-0.9992384,1.620033,0,0,0
0.3999023,0.01557042,1.496612,0.0218409,1.446271,178.2995,0.0674543,0.02966489,-0.02523951,-0.9992415,1.630629,0,0,0
0.4199219,0.01625645,1.496854,0.02375457,1.408733,178.2999,0.09335029,0.02965861,-0.02458455,-0.999258,1.629308,0,0,0
0.4399414,0.01840854,1.497239,0.02975151,1.260536,178.2612,0.1389065,0.03033492,-0.02199872,-0.9992977,1.623894,0,0,0
0.4598999,0.0192132,1.497116,0.03185663,1.238245,178.2652,0.118951,0.03026656,-0.02160976,-0.9993082,1.64782,0,0,0
0.4799194,0.01998205,1.497028,0.03409228,1.225302,178.2581,0.09421477,0.03038943,-0.02138392,-0.9993094,1.637694,0,0,0
0.499939,0.02085631,1.496904,0.03627935,1.207157,178.2711,0.08068046,0.03016325,-0.02106731,-0.9993229,1.639247,0,0,0
0.5198975,0.02269615,1.496838,0.04073045,1.229296,178.2986,0.1004624,0.02968314,-0.02145362,-0.9993291,1.619429,0,0,0
0.539917,0.02367237,1.4969,0.04306313,1.268008,178.3307,0.1024908,0.02912327,-0.02212911,-0.9993309,1.577684,0,0,0
0.5599365,0.02560601,1.496751,0.0477927,1.327721,178.3659,0.1039164,0.02850954,-0.02317102,-0.9993252,1.537479,0,0,0
0.579895,0.02768159,1.496438,0.05276373,1.39124,178.4023,0.07082296,0.02787256,-0.02427932,-0.9993167,1.486879,0,0,0
0.5999146,0.02882245,1.496147,0.05514446,1.383063,178.406,0.03353308,0.02780885,-0.02413665,-0.9993219,1.434087,0,0,0
0.6199341,0.02992821,1.496073,0.05775961,1.399518,178.3865,-0.01394653,0.02814841,-0.02442378,-0.9993056,1.421752,0,0,0
0.6398926,0.0311009,1.49603,0.06052819,1.480909,178.3885,-0.03067017,0.02811282,-0.02584386,-0.9992708,1.433814,0,0,0
0.6599121,0.03459276,1.495543,0.06932065,1.826758,178.3401,0.02593833,0.02895223,-0.03187753,-0.9990724,1.422853,0,0,0
0.6799316,0.03555208,1.495476,0.07222527,1.698631,178.2852,0.04439636,0.02991054,-0.02964237,-0.9991132,1.446316,0,0,0
0.6999512,0.0365351,1.495299,0.07521576,1.481026,178.2597,0.0131284,0.03035909,-0.0258459,-0.999205,1.495409,0,0,0
0.7199097,0.03749548,1.495091,0.07855171,1.33129,178.2885,-0.07949829,0.02985842,-0.02323331,-0.999284,1.514395,0,0,0
0.7399292,0.03897238,1.494419,0.08570176,1.141812,178.337,-0.1735535,0.0290157,-0.01992705,-0.9993805,1.477638,0,0,0
0.7599487,0.03952,1.494579,0.08901793,0.7571023,178.3609,-0.2356567,0.02860033,-0.01321354,-0.9995037,1.416651,0,0,0
0.7799072,0.04049626,1.494858,0.0959751,0.1179693,178.3956,-0.3523865,0.02799822,-0.002058951,-0.999606,1.387762,0,0,0
0.7999268,0.04064666,1.494888,0.09983057,-0.161438,178.4142,-0.4011536,0.02767339,0.002817452,-0.999613,1.344794,0,0,0
0.8199463,0.04040061,1.494558,0.1087825,-0.1836853,178.4514,-0.4891052,0.02702389,0.003205799,-0.9996296,1.32456,0,0,0
0.8399048,0.04009886,1.49442,0.1136678,0.00792349,178.4844,-0.4815063,0.02644984,-0.000138291,-0.9996505,1.288008,0,0,0
0.8599243,0.03976965,1.49405,0.1188553,0.2676289,178.503,-0.4577942,0.02612406,-0.004670989,-0.9996479,1.256165,0,0,0
0.8799438,0.03920843,1.493727,0.124345,0.5381714,178.4825,-0.452179,0.02648174,-0.009392725,-0.9996053,1.239226,0,0,0
0.8999023,0.03712822,1.49266,0.1410986,0.9137083,178.4847,-0.5566101,0.02644036,-0.01594654,-0.9995233,1.264549,0,0,0
0.9199219,0.03628819,1.492119,0.1466787,0.8096344,178.4845,-0.6734314,0.0264443,-0.01413031,-0.9995505,1.277175,0,0,0
0.9399414,0.03533588,1.49133,0.1523327,0.7050809,178.4757,-0.7676086,0.02659875,-0.01230567,-0.9995706,1.283442,0,0,0
0.9598999,0.03307715,1.489046,0.1640991,0.5959923,178.4155,-0.8885803,0.02765078,-0.01040184,-0.9995637,1.299353,0,0,0
0.9799194,0.03190219,1.487916,0.1699042,0.6075358,178.3549,-0.8994751,0.02870716,-0.0106033,-0.9995315,1.377856,0,0,0
0.999939,0.03067945,1.486856,0.1756224,0.6192714,178.2995,-0.9068604,0.02967259,-0.01080811,-0.9995016,1.448614,0,0,0
1.019897,0.02790689,1.484389,0.1872858,0.6466414,178.2168,-0.8818665,0.03111554,-0.01128578,-0.999452,1.514395,0,0,0
1.039917,0.02468377,1.482073,0.1988482,0.8910029,178.1093,-0.6837463,0.03298935,-0.01555031,-0.9993347,1.620033,0,0,0
1.059937,0.02289219,1.480793,0.2047281,1.073863,178.0449,-0.5184937,0.03411059,-0.01874134,-0.9992423,1.754462,0,0,0
1.079895,0.02103689,1.47957,0.2106286,1.296349,178.0144,-0.3591309,0.03464016,-0.02262363,-0.9991438,1.833764,0,0,0
1.099915,0.01908192,1.478414,0.2166384,1.547127,177.9748,-0.1871948,0.035326,-0.02699918,-0.9990113,1.879094,0,0,0
1.119934,0.01319791,1.476166,0.2343478,2.290361,177.7379,0.2951542,0.03943942,-0.0399637,-0.9984225,1.934315,0,0,0
1.139893,0.01118767,1.475945,0.240307,2.59604,177.6214,0.3871097,0.04145969,-0.04529393,-0.9981129,2.221847,0,0,0
1.159912,0.009168923,1.47572,0.2464357,2.831297,177.5166,0.4160172,0.04327707,-0.04939534,-0.9978416,2.356591,0,0,0
1.179932,0.007208884,1.475146,0.2525085,2.976574,177.4471,0.4317366,0.04448126,-0.05192765,-0.99766,2.479545,0,0,0
1.199951,0.003718153,1.473654,0.2650387,3.048374,177.2809,0.3683859,0.04737209,-0.05317906,-0.9974607,2.565596,0,0,0
1.21991,0.002031058,1.473218,0.2717294,3.184767,177.2022,0.3673724,0.04873579,-0.05555605,-0.9972655,2.762792,0,0,0
1.239929,0.0003748685,1.473498,0.2784001,3.464571,177.1155,0.3750908,0.05023121,-0.06043132,-0.9969076,2.856499,0,0,0
1.259949,-0.003992483,1.474182,0.2984503,3.832899,176.9833,0.2466458,0.05250943,-0.06684683,-0.9963808,2.958235,0,0,0
1.279907,-0.005174935,1.474353,0.3052929,3.832713,177.0817,0.1083841,0.05079872,-0.06684358,-0.9964694,3.127375,0,0,0
1.299927,-0.006357074,1.474967,0.3122779,3.813644,177.1368,0.06071599,0.04984132,-0.06651151,-0.9965401,3.035575,0,0,0
1.319946,-0.007400557,1.475182,0.3195402,3.941056,177.1576,0.02775788,0.0494712,-0.06873018,-0.996408,2.988062,0,0,0
1.339905,-0.009518757,1.475073,0.3348261,4.515172,177.1816,0.1470988,0.04901752,-0.07872307,-0.9956909,2.974798,0,0,0
1.359924,-0.01163052,1.475433,0.3504328,5.076067,177.2462,0.1833641,0.04785553,-0.08847824,-0.9949281,2.966627,0,0,0
1.379944,-0.01243182,1.475659,0.3581977,5.20846,177.3106,0.1954871,0.04672789,-0.09077962,-0.9947743,2.916852,0,0,0
1.399902,-0.01314168,1.475971,0.3658462,5.182117,177.3461,0.2032066,0.04611298,-0.09032173,-0.9948448,2.856978,0,0,0
1.419922,-0.0145189,1.4769,0.3811832,4.714532,177.3759,0.2472522,0.04562909,-0.08219127,-0.9955714,2.826185,0,0,0
1.439941,-0.01526196,1.47686,0.3891446,4.457489,177.393,0.3851214,0.04534767,-0.07771941,-0.9959435,2.806795,0,0,0
1.4599,-0.01584145,1.476846,0.3970571,4.31844,177.4161,0.5225782,0.04495433,-0.07529967,-0.9961472,2.795054,0,0,0
1.479919,-0.01730168,1.476792,0.4131555,4.07829,177.4673,0.7190307,0.04407829,-0.07111951,-0.9964937,2.77601,0,0,0
1.499939,-0.01859777,1.475776,0.4296967,3.843779,177.6594,0.7579237,0.04074764,-0.06703629,-0.9969182,2.735235,0,0,0
1.519897,-0.01924539,1.475049,0.4379076,3.748556,177.7567,0.7048877,0.03905854,-0.06537797,-0.9970958,2.548449,0,0,0
1.539917,-0.01983794,1.474087,0.4460679,3.590724,177.8613,0.668735,0.03724499,-0.06262895,-0.9973418,2.453756,0,0,0
1.559937,-0.02041843,1.473289,0.454395,3.428069,177.9647,0.6009182,0.03545205,-0.0597954,-0.9975809,2.351186,0,0,0
1.579895,-0.02140974,1.470395,0.479899,2.92704,178.3425,0.3179566,0.02888784,-0.05106427,-0.9982778,2.249859,0,0,0
1.599915,-0.0211601,1.469256,0.4888074,2.882379,178.4908,0.1756313,0.02630357,-0.05028579,-0.9983884,1.870325,0,0,0
1.619934,-0.02110015,1.46793,0.4978178,2.844548,178.5746,0.04294158,0.02484544,-0.04962634,-0.9984589,1.716004,0,0,0
1.639893,-0.020744,1.465589,0.5157104,2.726254,178.7224,-0.09011841,0.02227135,-0.04756415,-0.9986199,1.629909,0,0,0
1.659912,-0.0203056,1.464518,0.5247443,2.637899,178.8503,-0.1670532,0.02004398,-0.04602375,-0.9987391,1.47565,0,0,0
