time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.002613068,0.0236187,1.49356,-0.240073,-0.9424744,0.7079453,0.5334525,0.01235399,0.01644859,0.9997884,0,0,0,0
0.02261305,0.02412891,1.49345,-0.2382121,-0.8621826,0.6373412,0.5290222,0.01112221,0.01504743,0.9998249,0.872228,0,0,0
0.04261303,0.02439022,1.493277,-0.2373169,-0.7730408,0.5976121,0.5322008,0.01042916,0.01349167,0.9998546,0.8047857,0,0,0
0.06261301,0.02463722,1.493037,-0.2363394,-0.6576538,0.57205,0.534332,0.009983333,0.01147791,0.9998843,0.7674484,0,0,0
0.08261299,0.02494621,1.492828,-0.2352314,-0.578186,0.5346786,0.5394151,0.009331293,0.01009113,0.9999055,0.7433581,0,0,0
0.102613,0.0258131,1.492462,-0.2314864,-0.5350952,0.4802772,0.5433162,0.008381954,0.009338926,0.9999213,0.7083117,0,0,0
0.122613,0.02605438,1.492213,-0.2300299,-0.60672,0.466145,0.5400693,0.008135221,0.01058906,0.9999108,0.6602717,0,0,0
0.1426129,0.02640438,1.491759,-0.2286547,-0.6172791,0.4417526,0.5558398,0.007709515,0.01077335,0.9999123,0.6474031,0,0,0
0.1626129,0.02673244,1.491449,-0.2273321,-0.503479,0.4336633,0.5664769,0.007568488,0.008787337,0.9999328,0.6252628,0,0,0
0.1826129,0.02706814,1.491109,-0.225915,-0.3843079,0.4274706,0.5626792,0.007460532,0.0067075,0.9999497,0.6199199,0,0,0
0.2026129,0.02816868,1.490114,-0.2214027,-0.07397461,0.4370351,0.5893326,0.007627622,0.001291312,0.9999701,0.616438,0,0,0
0.2226129,0.02861309,1.489974,-0.2197705,-0.001013495,0.4385854,0.6118829,0.007654684,1.768882E-05,0.9999707,0.6330382,0,0,0
0.2426128,0.02881145,1.489671,-0.2179442,0.04075819,0.4524214,0.6118974,0.007896158,-0.0007113645,0.9999686,0.6382713,0,0,0
0.2626128,0.02904988,1.489309,-0.2160755,0.06647745,0.4517582,0.6266115,0.007884582,-0.00116025,0.9999682,0.6537194,0,0,0
0.2826128,0.02951908,1.489017,-0.2141908,0.1038856,0.4206307,0.676717,0.007341314,-0.001813144,0.9999714,0.6543178,0,0,0
0.3026128,0.03090859,1.4886,-0.2079454,0.3102039,0.4001896,0.9111333,0.006984468,-0.005414052,0.999961,0.6258884,0,0,0
0.3226128,0.03148365,1.48848,-0.2056475,0.4106182,0.3820434,1.006248,0.006667694,-0.007166578,0.9999521,0.6158028,0,0,0
0.3426127,0.03198147,1.48783,-0.203264,0.5182887,0.3514439,1.064901,0.006133563,-0.009045721,0.9999403,0.6013339,0,0,0
0.3626127,0.03248692,1.487165,-0.2007737,0.7130128,0.3159328,1.132482,0.005513614,-0.0124441,0.9999074,0.575053,0,0,0
0.3826127,0.03358555,1.485747,-0.1955276,1.069574,0.2274436,1.306345,0.003968938,-0.01866651,0.9998179,0.5435666,0,0,0
