time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.008300781,-0.0380993,1.482511,0.08271348,1.370487,176.0267,0.8064845,0.06927092,-0.02391724,-0.9973115,1.143466,0,0,0
0.02832031,-0.03799878,1.482553,0.08301795,1.37103,176.0338,0.8319635,0.06914826,-0.02392671,-0.9973196,4.358917,0,0,0
0.04833984,-0.0377623,1.482746,0.08431143,1.339848,176.0323,0.9318733,0.06917451,-0.02338262,-0.9973305,4.351002,0,0,0
0.06835938,-0.03775507,1.482964,0.08488804,1.309502,176.0117,0.9563916,0.06953427,-0.02285312,-0.9973177,4.350732,0,0,0
0.08837891,-0.03774336,1.483444,0.08550507,1.244972,176.0018,0.9802207,0.06970843,-0.02172715,-0.997331,4.371884,0,0,0
0.1083984,-0.03764623,1.484084,0.08679998,0.9816718,175.9718,0.9646627,0.07023653,-0.01713257,-0.9973834,4.381997,0,0,0
0.1282959,-0.03769001,1.484324,0.08762747,0.8755553,175.9505,1.013637,0.0706105,-0.01528073,-0.9973872,4.412108,0,0,0
0.1483154,-0.03773569,1.484639,0.08845323,0.7719505,175.9203,1.060704,0.07113701,-0.01347267,-0.9973758,4.434381,0,0,0
0.168335,-0.03774749,1.484894,0.08925658,0.6614003,175.8992,1.069391,0.07150757,-0.01154336,-0.9973736,4.465632,0,0,0
0.1883545,-0.03806506,1.485752,0.09210759,0.4449455,175.8194,1.149528,0.07289879,-0.007765687,-0.9973091,4.487466,0,0,0
0.208374,-0.03836963,1.485992,0.09332699,0.4243381,175.7594,1.18873,0.0739437,-0.00740603,-0.9972351,4.571918,0,0,0
0.2283936,-0.03857662,1.48617,0.09454906,0.4020661,175.719,1.228986,0.07464583,-0.007017319,-0.9971855,4.635782,0,0,0
0.2484131,-0.03909819,1.486318,0.09707284,0.3638041,175.6338,1.215225,0.07612888,-0.006349537,-0.9970781,4.67881,0,0,0
0.2683105,-0.03947461,1.486432,0.09838194,0.3217451,175.5796,1.232632,0.07707226,-0.005615482,-0.9970099,4.770153,0,0,0
0.2883301,-0.03981952,1.486508,0.09975708,0.2324255,175.5352,1.216814,0.07784693,-0.004056579,-0.9969571,4.828685,0,0,0
0.3083496,-0.04021436,1.486553,0.1012086,0.1604012,175.497,1.178653,0.07851158,-0.002799526,-0.9969096,4.876926,0,0,0
0.3283691,-0.04163316,1.486534,0.1059862,0.1174306,175.4106,1.063174,0.08001383,-0.002049548,-0.996792,4.919164,0,0,0
0.3483887,-0.04207259,1.486485,0.1077235,0.2222094,175.4215,0.98868,0.07982499,-0.003878275,-0.9968015,5.018486,0,0,0
0.3684082,-0.0425294,1.486397,0.1095702,0.3236657,175.407,0.9115081,0.08007533,-0.005649002,-0.996773,5.010749,0,1,1
0.3883057,-0.04289909,1.485948,0.1114208,0.4255618,175.3866,0.8241899,0.08042929,-0.007427387,-0.9967328,5.029015,0,1,1
0.4083252,-0.04342847,1.485055,0.1152146,0.6940273,175.2479,0.7483965,0.08283821,-0.01211277,-0.9964895,5.052879,0,1,1
0.4283447,-0.04389457,1.483752,0.1190499,0.9324738,175.0106,0.6834921,0.08696047,-0.01627402,-0.996079,5.199347,0,1,1
0.4483643,-0.04393876,1.482679,0.1209888,1.100747,174.8028,0.6825265,0.09056719,-0.01921047,-0.9957051,5.446545,0,1,1
0.4683838,-0.04384072,1.481745,0.1229531,1.295145,174.5616,0.6359404,0.09475124,-0.02260262,-0.9952445,5.660085,0,1,1
0.4884033,-0.04341811,1.480794,0.1265276,1.480136,174.0273,0.4482232,0.1040195,-0.02583037,-0.9942399,5.906907,0,1,1
0.5083008,-0.04303467,1.480505,0.128249,1.476996,173.7366,0.3055266,0.1090635,-0.02577558,-0.9937005,6.452088,0,1,1
0.5283203,-0.04260629,1.480064,0.1300436,1.51447,173.4052,0.1536162,0.1148062,-0.02642941,-0.9930364,6.747588,0,1,1
0.5483398,-0.04131708,1.478765,0.1356565,1.696441,172.5396,-0.2877197,0.1297844,-0.02960415,-0.9911004,7.084407,0,1,1
0.5683594,-0.04086493,1.478517,0.1375884,1.820642,172.1872,-0.3507996,0.1358677,-0.03177084,-0.9902174,7.963164,0,1,1
0.5883789,-0.04026937,1.47862,0.1394479,1.920797,171.7429,-0.3558044,0.1435347,-0.03351795,-0.9890778,8.321333,0,1,1
0.6083984,-0.03965449,1.478521,0.1412492,1.96059,171.2486,-0.3181458,0.1520584,-0.03421207,-0.9877793,8.772814,0,1,1
0.6282959,-0.03818277,1.478069,0.1449059,1.977014,170.1513,-0.2121887,0.1709446,-0.03449855,-0.9846767,9.275338,0,1,1
0.6483154,-0.03726859,1.477874,0.1467471,1.979109,169.5248,-0.1546631,0.1817011,-0.0345351,-0.9827476,10.39006,0,1,1
0.668335,-0.03538047,1.477445,0.1503186,2.024891,168.2606,-0.06765747,0.2033338,-0.03533366,-0.978472,11.02594,0,1,1
0.6883545,-0.03433132,1.477165,0.1520697,2.093539,167.5291,-0.0234375,0.2158,-0.03653102,-0.975754,12.30863,0,1,1
0.708374,-0.03244074,1.476551,0.1553709,2.308088,166.1775,-0.06359863,0.2387213,-0.04027285,-0.970253,13.05106,0,1,1
0.7283936,-0.03159271,1.476159,0.1569414,2.415539,165.597,-0.1413269,0.2485195,-0.04214662,-0.9677097,14.42298,0,1,1
0.7484131,-0.03075838,1.475698,0.1585266,2.553843,165.108,-0.2658081,0.2567433,-0.04455821,-0.9654521,15.01185,0,1,1
0.7683105,-0.03005175,1.475358,0.1600872,2.722179,164.7217,-0.3990173,0.2632096,-0.04749311,-0.9635689,15.50707,0,1,1
