time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01513672,-0.02403545,1.500314,-0.2767575,-1.539307,-0.7304382,1.386965,-0.01274374,0.02686248,0.9995579,0.8672784,0,0,0
0.03515625,-0.02445507,1.499939,-0.2752202,-1.400635,-0.6764221,1.385582,-0.01180222,0.02444302,0.9996316,0.8965662,0,0,0
0.05517578,-0.02472878,1.499799,-0.2746156,-1.329803,-0.6242676,1.377684,-0.01089255,0.02320711,0.9996713,0.845804,0,0,0
0.07519531,-0.02496529,1.499664,-0.2739785,-1.296143,-0.5945435,1.379659,-0.0103739,0.02262017,0.9996903,0.7954926,0,0,0
0.09521484,-0.02512932,1.499542,-0.2733739,-1.263367,-0.5823364,1.400731,-0.01016093,0.02204793,0.9997053,0.7674484,0,0,0
0.1151123,-0.02535725,1.499441,-0.2727292,-1.221252,-0.5653992,1.418508,-0.009865697,0.02131302,0.9997241,0.7558876,0,0,0
0.1351318,-0.02608871,1.498798,-0.2706693,-1.067078,-0.5413513,1.481395,-0.009446501,0.0186229,0.999782,0.7404569,0,0,0
0.1551514,-0.02641296,1.498514,-0.2698758,-0.9549866,-0.5227356,1.515636,-0.009122269,0.01666705,0.9998195,0.7222635,0,0,0
0.1751709,-0.02663136,1.498322,-0.269109,-0.8455505,-0.5516663,1.546845,-0.009627023,0.01475703,0.9998448,0.7058211,0,0,0
0.1951904,-0.02694511,1.498032,-0.2682412,-0.7676392,-0.552948,1.586203,-0.009649634,0.01339725,0.9998637,0.7364823,0,0,0
0.21521,-0.02722836,1.497876,-0.2673486,-0.6974487,-0.5697937,1.576286,-0.009943997,0.01217261,0.9998764,0.7399282,0,0,0
0.2351074,-0.02828884,1.497415,-0.2645352,-0.5396118,-0.5987244,1.435838,-0.01044895,0.009417823,0.9999011,0.7587299,0,0,0
0.255127,-0.02868271,1.497086,-0.2635396,-0.449585,-0.5901184,1.420474,-0.01029889,0.007846406,0.9999162,0.7945082,0,0,0
0.2751465,-0.02901173,1.496798,-0.2624924,-0.3278809,-0.5781555,1.417924,-0.01009027,0.00572249,0.9999327,0.7888232,0,0,0
0.295166,-0.02937603,1.496564,-0.2613805,-0.2030334,-0.5434875,1.417006,-0.009485705,0.003543385,0.9999487,0.7790887,0,0,0
0.3151855,-0.03021145,1.495841,-0.2591069,0.02968071,-0.4969788,1.422512,-0.008673606,-0.0005180261,0.9999623,0.7467723,0,0,0
0.3352051,-0.0310955,1.494625,-0.2565816,0.422536,-0.442749,1.456711,-0.00772739,-0.007374577,0.999943,0.7069291,0,0,0
0.3552246,-0.03163338,1.494172,-0.2552007,0.7147915,-0.4066772,1.441564,-0.007097112,-0.01247514,0.999897,0.6584912,0,0,0
0.3751221,-0.0321207,1.49379,-0.2537568,0.9660099,-0.37146,1.425849,-0.006482169,-0.01685925,0.9998369,0.6262009,0,0,0
0.3951416,-0.03313732,1.492934,-0.2506669,1.395504,-0.3100281,1.368533,-0.005409127,-0.02435374,0.9996887,0.5941319,0,0,0
0.4151611,-0.03357506,1.492321,-0.248998,1.562859,-0.2749634,1.355988,-0.00479698,-0.02727365,0.9996165,0.5406791,0,0,0
0.4351807,-0.03462887,1.491313,-0.2453473,1.831513,-0.1901245,1.286525,-0.003316667,-0.03196048,0.9994836,0.5082192,0,0,0
0.4552002,-0.03583241,1.490397,-0.2414067,2.06796,-0.1014404,1.267424,-0.001769087,-0.03608488,0.9993472,0.4297835,0,0,0
0.4752197,-0.03652287,1.489797,-0.2391808,2.13545,-0.08239746,1.20779,-0.001436869,-0.03726201,0.9993045,0.3499859,0,0,0
0.4951172,-0.03723335,1.489297,-0.2368748,2.227515,-0.04159546,1.170436,-0.0007256947,-0.03886769,0.9992441,0.3368816,0,0,0
0.5151367,-0.03793812,1.488771,-0.2344163,2.296995,-0.02404785,1.109978,-0.0004195306,-0.04007939,0.9991964,0.3006659,0,0,0
0.5351563,-0.0386734,1.488239,-0.2318566,2.381539,-0.01116943,1.069608,-0.0001946329,-0.04155373,0.9991363,0.289391,0,0,0
0.5551758,-0.0408802,1.486338,-0.2235787,2.745728,0.003395811,0.8291736,5.920004E-05,-0.04790366,0.998852,0.2797648,0,0,0
0.5751953,-0.04160881,1.485469,-0.2205384,2.813835,0.03717603,0.7320839,0.0006480617,-0.04909095,0.9987941,0.2818553,0,0,0
0.5952148,-0.04236889,1.484323,-0.217355,2.892931,0.1034283,0.6939611,0.001802863,-0.05046972,0.998724,0.2533378,0,0,0
0.6151123,-0.04300499,1.483535,-0.2140057,3.061282,0.172178,0.7243776,0.003000781,-0.05340404,0.9985685,0.1938267,0,0,0
0.6351318,-0.04480457,1.48118,-0.2034829,3.478326,0.2969616,0.7460088,0.005173387,-0.06067095,0.9981444,0.1297215,0,0,0
0.6551514,-0.0453701,1.480248,-0.1995995,3.539587,0.3497867,0.7174107,0.006093247,-0.06173816,0.9980738,0.02797646,0,0,0
0.6751709,-0.04583073,1.479221,-0.1955674,3.59106,0.3742312,0.7344378,0.006518696,-0.0626348,0.9980152,0.03956468,0,0,0
0.6951904,-0.0460434,1.478252,-0.191274,3.626077,0.3542167,0.7970866,0.006169832,-0.06324475,0.997979,0.05595291,0,0,0
0.71521,-0.04638863,1.476456,-0.1821816,3.650133,0.3786538,0.8482137,0.006595301,-0.06366376,0.9979496,0.02797646,0,0,0
0.7351074,-0.0461874,1.476108,-0.1773312,3.702425,0.356267,0.8879861,0.006205015,-0.06457454,0.9978936,0.05595291,0,0,0
0.755127,-0.04593468,1.47535,-0.1674893,3.804163,0.3379616,0.9237898,0.005885512,-0.06634641,0.9977793,0.03956468,0,0,0
0.7751465,-0.0456171,1.4753,-0.1622117,3.820092,0.320519,0.8763272,0.005581653,-0.06662381,0.9977626,0,0,0,0
0.795166,-0.04461288,1.475498,-0.1511777,3.571656,0.3185401,0.7480165,0.005548747,-0.06229679,0.9980422,0.02797646,0,0,0
0.8151855,-0.04364109,1.475918,-0.1451981,3.155707,0.3225745,0.7728709,0.005621421,-0.05504963,0.9984678,0,0,0,0
0.8352051,-0.0427618,1.476346,-0.1391461,2.716674,0.290114,0.7879776,0.005057733,-0.04739714,0.9988633,0,0,0,0
0.8552246,-0.04095554,1.476552,-0.1263459,1.755848,0.2953146,0.7814656,0.00515177,-0.03064054,0.9995172,0.02797646,0,0,0
0.8751221,-0.03818703,1.476785,-0.1130994,0.921435,0.2913187,0.7371601,0.005083791,-0.01608138,0.9998578,0,0,0,0
0.8951416,-0.03641987,1.4766,-0.1059563,0.4704611,0.2709336,0.7111047,0.004728506,-0.008211003,0.9999551,0,0,0,0
0.9151611,-0.03523064,1.476393,-0.09867409,0.1217038,0.2472206,0.7045061,0.00431479,-0.002124129,0.9999884,0,0,0,0
0.9351807,-0.03225517,1.476037,-0.08347633,-0.3692322,0.2141379,0.671002,0.003737325,0.006444351,0.9999722,0,0,0,0
0.9552002,-0.03040123,1.475917,-0.07561615,-0.54599,0.2168524,0.6483468,0.003784608,0.009529179,0.9999474,0,0,0,0
0.9752197,-0.02862167,1.475829,-0.06759194,-0.7838135,0.2260637,0.5846524,0.003945177,0.01367987,0.9998987,0,0,0,0
0.9951172,-0.02673244,1.47564,-0.0593293,-1.065796,0.2443326,0.503763,0.004263659,0.01860054,0.9998179,0.02797646,0,0,0
1.015137,-0.02011395,1.474401,-0.0338662,-1.577942,0.3167002,0.366565,0.005525337,0.02753672,0.9996055,0.05595291,0,0,0
1.035156,-0.01751328,1.474237,-0.02529266,-1.44455,0.3434707,0.294807,0.005992755,0.02520966,0.9996642,0.1724585,0,0,0
1.055176,-0.01503468,1.474512,-0.01664093,-1.355438,0.392448,0.2248512,0.00684754,0.02365465,0.9996967,0.2185032,0,0,0
1.075195,-0.00935936,1.476166,0.001087874,-1.206573,0.3495146,0.142023,0.00609879,0.02105726,0.9997597,0.2853053,0,0,0
1.095215,-0.006608009,1.478731,0.01019737,-1.047668,0.2479604,0.1725736,0.004326988,0.01828446,0.9998235,0.2818553,0,0,0
1.115112,-0.004069328,1.480497,0.01915428,-1.142303,0.1021173,0.1941774,0.001781928,0.01993556,0.9997997,0.199792,0,0,0
1.135132,0.0008916855,1.482139,0.03684112,-1.263367,-0.1477966,0.1603033,-0.002578772,0.02204819,0.9997536,0.07401875,0,0,0
1.155151,0.005571365,1.482349,0.05317184,-0.7055359,-0.461853,0.1192453,-0.008060292,0.01231368,0.9998917,0.1412742,0,0,0
1.175171,0.007537842,1.482256,0.06140396,-0.3399048,-0.6175232,0.05956801,-0.01077728,0.005932653,0.9999243,0.4219727,0,0,0
1.19519,0.009520531,1.482018,0.06958839,-0.1226501,-0.738678,0.03583883,-0.01289215,0.002140758,0.9999146,0.5630175,0,0,0
1.21521,0.01381207,1.483304,0.08670491,0.1724341,-0.9826355,-0.03936768,-0.01714938,-0.003009539,0.9998484,0.66998,0,0,0
1.235107,0.01543999,1.484571,0.0953967,0.2273307,-1.123138,-0.0793457,-0.01960119,-0.003967658,0.9998,0.8824874,0,0,0
