time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.006282806,0.023242,1.498994,-0.5475323,-5.386932,179.5714,1.244606,0.007446975,0.09388112,-0.9955556,0.4083038,0,0,0
0.02627945,0.0234127,1.498911,-0.5467999,-5.324524,179.5823,1.224413,0.007259379,0.09279697,-0.9956588,0.2783625,0,0,0
0.04627991,0.02355194,1.498737,-0.5460637,-5.265167,179.5776,1.182429,0.007341444,0.09176519,-0.9957539,0.2661444,0,0,0
0.06628036,0.02370071,1.498692,-0.5452931,-5.208008,179.5829,1.136333,0.007250424,0.09077159,-0.9958456,0.2705197,0,0,0
0.08628082,0.02400112,1.498679,-0.5437977,-5.149353,179.6036,1.054738,0.006891041,0.08975243,-0.9959404,0.2646699,0,0,0
0.1062813,0.024333,1.498848,-0.54231,-5.229492,179.6273,1.041942,0.006476806,0.09114538,-0.9958166,0.2406627,0,0,0
0.1262817,0.0245018,1.49873,-0.5414746,-5.232635,179.6254,1.058652,0.006510284,0.09120001,-0.9958113,0.2158,0,0,0
0.1462822,0.02489662,1.498592,-0.5397885,-5.212097,179.6217,1.120545,0.006574803,0.09084305,-0.9958436,0.2139789,0,0,0
0.1662827,0.02512264,1.498547,-0.5388615,-5.124695,179.5976,1.224145,0.006994574,0.08932346,-0.9959781,0.2158,0,0,0
0.1862831,0.0253315,1.498495,-0.537885,-5.041718,179.5716,1.293407,0.00744769,0.0878809,-0.9961034,0.2373883,0,0,0
0.2062798,0.02598286,1.498434,-0.5347226,-4.684998,179.5454,1.470981,0.007907506,0.08167754,-0.9966273,0.2646699,0,0,0
0.2262802,0.02623081,1.498345,-0.5335763,-4.558868,179.5613,1.426512,0.007633221,0.07948334,-0.9968071,0.2866737,0,0,0
0.2462807,0.02653217,1.498369,-0.5324128,-4.431702,179.584,1.395911,0.007237883,0.07727046,-0.996984,0.2690692,0,0,0
0.2662811,0.0267849,1.498498,-0.5311978,-4.361786,179.5911,1.377627,0.007116396,0.07605401,-0.9970784,0.2438933,0,0,0
0.2862816,0.02740669,1.4985,-0.5287354,-4.18924,179.6215,1.316126,0.006588403,0.07305112,-0.9973065,0.2349025,0,0,0
0.306282,0.0277319,1.498076,-0.5273983,-4.111725,179.6297,1.259438,0.006445892,0.07170142,-0.9974056,0.199792,0,0,0
0.3262825,0.02819538,1.497756,-0.5259411,-3.953369,179.6637,1.201518,0.005855468,0.06894455,-0.9976037,0.1887116,0,0,0
0.346283,0.02967262,1.496947,-0.5213025,-3.374969,179.7102,1.055331,0.005049872,0.05887049,-0.998253,0.1506579,0,0,0
0.3662796,0.03020859,1.496628,-0.5195858,-3.127655,179.7092,1.037871,0.005068765,0.05456094,-0.9984978,0.09065409,0,0,0
0.3862801,0.03084564,1.496193,-0.5176938,-2.853516,179.7203,1.021084,0.004875142,0.0497825,-0.9987482,0.09065409,0,0,0
0.4062805,0.03146553,1.495914,-0.515775,-2.614471,179.7421,0.9972445,0.004495943,0.04561514,-0.9989492,0.07132626,0,0,0
0.426281,0.03274155,1.495748,-0.5120175,-2.246094,179.7868,0.9164329,0.003718039,0.03919147,-0.9992251,0.04845664,0,0,0
0.4462814,0.03343201,1.495776,-0.5100243,-2.239258,179.8161,0.8436601,0.003208019,0.03907252,-0.9992316,0,0,0,0
0.4662819,0.03432369,1.495697,-0.5078557,-2.284271,179.841,0.7673616,0.002772096,0.0398576,-0.9992017,0.04845664,0,0,0
0.4862823,0.03695869,1.496125,-0.5011723,-2.54187,179.8784,0.6181618,0.002120733,0.04434934,-0.999014,0.07132626,0,0,0
0.5062828,0.0378828,1.49614,-0.4988301,-2.803833,179.9002,0.5363164,0.001739335,0.04891644,-0.9988017,0.1282043,0,0,0
0.5262794,0.03866863,1.496193,-0.4962704,-2.989075,179.9182,0.4964552,0.001426474,0.0521455,-0.9986384,0.1607126,0,0,0
0.5462799,0.03946209,1.496414,-0.4935792,-3.193604,179.9378,0.4664299,0.001083779,0.05570983,-0.9984466,0.1845175,0,0,0
0.5662804,0.04084396,1.496563,-0.4879887,-3.574738,179.9847,0.37185,0.0002659942,0.06235055,-0.9980545,0.2074791,0,0,0
0.5862808,0.04126453,1.496258,-0.4846795,-3.79895,-179.9386,0.320109,-0.001070114,0.06625568,-0.9978024,0.2668786,0,0,0
0.6062813,0.0416317,1.49597,-0.4812253,-4.023773,-179.8159,0.1563801,-0.003204334,0.07017034,-0.9975302,0.3494264,0,0,0
0.6262817,0.04257202,1.497087,-0.4700845,-4.717102,-179.462,-0.273407,-0.009357761,0.08223592,-0.9965693,0.4768338,0,0,0
