time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.002941132,-0.09185179,1.33854,-0.02703476,13.93441,10.49347,0.0596037,0.1767639,-0.240811,0.9543399,0,0,0,0
0.02294159,-0.09190159,1.338693,-0.0270108,13.82352,10.55141,0.07383395,0.177814,-0.2389321,0.954617,17.96148,0,0,0
0.04294205,-0.09202285,1.338916,-0.02701703,13.66799,10.6726,0.1210116,0.1799522,-0.2362954,0.9548726,17.89955,0,0,0
0.0629425,-0.09213234,1.339081,-0.02706102,13.56271,10.77991,0.1841689,0.1818212,-0.2345095,0.9549588,17.83559,0,0,0
0.08294296,-0.09216653,1.339293,-0.02706653,13.42123,10.8775,0.2888763,0.1835561,-0.2321084,0.9552135,17.80731,0,0,0
0.1029434,-0.09215714,1.339445,-0.02715582,13.313,10.93624,0.4429983,0.1846182,-0.2302705,0.9554536,17.74537,0,1,1
0.1229439,-0.09213346,1.339496,-0.02722758,13.25851,10.99213,0.4964258,0.1855917,-0.229345,0.9554876,17.69008,0,1,1
0.1429405,-0.09209874,1.339707,-0.02744234,13.14064,11.11858,0.5540124,0.1877906,-0.227342,0.9555367,17.67788,0,1,1
0.162941,-0.09207417,1.340063,-0.02768591,13.04864,11.239,0.6190326,0.1898693,-0.2257781,0.9554967,17.65519,0,1,1
0.1829414,-0.09200632,1.340428,-0.02791712,12.92654,11.34515,0.6347756,0.1917335,-0.2237016,0.9556128,17.65038,0,1,1
0.2029419,-0.09187076,1.340877,-0.0282484,12.75413,11.45845,0.6303825,0.1937558,-0.2207677,0.9558872,17.61474,0,1,1
0.2229424,-0.0917833,1.341436,-0.0285863,12.59463,11.57149,0.6166996,0.1957637,-0.2180517,0.9561015,17.54527,0,1,1
0.2429428,-0.0917193,1.341607,-0.02873904,12.5008,11.61157,0.6009729,0.1965041,-0.2164532,0.9563128,17.48712,0,1,1
0.2629433,-0.09165385,1.342089,-0.02899447,12.26999,11.67757,0.5647481,0.1977804,-0.2125186,0.9569319,17.43843,0,1,1
0.2829437,-0.09169241,1.342639,-0.02913085,12.01486,11.73019,0.4954712,0.1988497,-0.2081653,0.9576669,17.29954,0,1,1
0.3029404,-0.09171198,1.342821,-0.02936882,11.86712,11.72621,0.4782118,0.1988915,-0.2056426,0.9582031,17.1352,0,1,1
0.3229408,-0.09171475,1.343118,-0.02956101,11.87243,11.65213,0.5105783,0.1976486,-0.2057333,0.9584408,17.01977,0,1,1
0.3429413,-0.09173171,1.343149,-0.02961048,11.90459,11.60176,0.525721,0.1967826,-0.2062826,0.958501,16.97469,0,1,1
0.3629417,-0.09180469,1.343036,-0.0296216,12.03848,11.44001,0.6197473,0.1939798,-0.2085685,0.9585776,16.96668,0,1,1
0.3829422,-0.09203393,1.342504,-0.02964801,12.44132,11.19701,0.7140507,0.1896233,-0.2154396,0.9579294,16.96699,0,1,1
0.4029427,-0.0923669,1.341781,-0.02958086,12.75751,10.94285,0.7731472,0.1851435,-0.2208253,0.9575793,17.13163,0,1,1
0.4229431,-0.09266779,1.341411,-0.02921849,12.83087,10.80165,0.7398559,0.1827299,-0.2220738,0.9577541,17.23274,0,1,1
0.4429436,-0.09298548,1.3408,-0.02884197,12.94199,10.51327,0.7188557,0.1778282,-0.2239645,0.9582364,17.20998,0,1,1
0.462944,-0.09346408,1.339934,-0.02868149,13.25977,10.15874,0.7348002,0.1716738,-0.2293664,0.9580809,17.13696,0,1,1
0.4829407,-0.09400482,1.339047,-0.02847999,13.68981,9.711066,0.7868785,0.1638878,-0.2366653,0.9576692,17.20509,0,1,1
0.5029411,-0.09459871,1.338297,-0.02828342,14.057,9.219302,0.8115783,0.1554161,-0.242887,0.9575238,17.33357,0,1,1
0.5229416,-0.09486112,1.338038,-0.02819178,14.20558,8.95128,0.8070307,0.1508367,-0.2454018,0.9576148,17.40714,0,1,1
0.542942,-0.09548751,1.337502,-0.02802384,14.47336,8.434393,0.7958645,0.1420219,-0.2499298,0.9577916,17.41048,0,1,1
0.5629425,-0.09610079,1.337369,-0.02804059,14.68646,7.891621,0.7596881,0.1328138,-0.2535293,0.9581667,17.41557,0,1,1
0.582943,-0.09664214,1.337862,-0.02789474,14.44915,7.380302,0.7156558,0.1243916,-0.2495207,0.9603469,17.37774,0,1,1
0.6029434,-0.09696658,1.338589,-0.02785856,13.94261,6.896013,0.7173049,0.1165303,-0.2409499,0.9635164,16.95376,0,1,1
0.6229439,-0.09712266,1.339038,-0.02801347,13.68421,6.657528,0.7333861,0.1126436,-0.2365704,0.9650626,16.29795,0,1,1
0.6429405,-0.09734312,1.340543,-0.02843875,13.04799,6.21071,0.8298405,0.105392,-0.2257671,0.9684636,15.96736,0,1,1
0.662941,-0.09751294,1.342274,-0.02894819,12.31829,5.881576,0.8911974,0.1001135,-0.2133422,0.9718345,15.20446,0,1,1
0.6829414,-0.09752006,1.344202,-0.02953807,11.41284,5.697887,0.896704,0.09731992,-0.197877,0.9753838,14.39587,0,1,1
0.7029419,-0.09728113,1.346305,-0.03018138,10.42037,5.593015,0.9934469,0.09585415,-0.1808689,0.978825,13.47501,0,1,1
0.7229424,-0.09721697,1.347206,-0.0306448,10.01001,5.576329,1.000322,0.09569252,-0.1738203,0.9801171,12.50582,0,1,1
0.7429428,-0.0968744,1.348851,-0.03192151,9.439666,5.644711,1.059903,0.09702761,-0.1640089,0.9816754,12.11736,0,1,1
0.7629433,-0.09646825,1.350509,-0.03310046,8.798669,5.760491,1.060874,0.09918909,-0.1529629,0.9832415,11.61725,0,1,1
0.7829437,-0.09607846,1.352364,-0.03419149,8.011278,5.822152,1.06136,0.1004509,-0.139368,0.9851326,11.08429,0,1,1
0.8029404,-0.09575903,1.353596,-0.03561679,7.46774,5.85553,1.083927,0.1011552,-0.1299679,0.9863448,10.4111,0,1,1
0.8229408,-0.09568441,1.354191,-0.03655314,7.314654,5.880851,1.079179,0.1016263,-0.1273183,0.9866419,9.953349,0,1,1
