time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01985168,-0.03476832,1.503188,1.04265,-0.7607727,177.9926,-0.3153992,0.03502638,0.01327759,-0.9992982,2.174569,0,0,0
0.03985596,-0.03548383,1.50328,1.044172,-0.6961365,177.937,-0.3031311,0.0359957,0.01214965,-0.9992783,2.361569,0,0,0
0.0598526,-0.03588955,1.503383,1.04492,-0.6460876,177.9027,-0.2892151,0.03659468,0.01127637,-0.9992667,2.425031,0,0,0
0.07985687,-0.03678569,1.503756,1.046623,-0.5491943,177.8942,-0.3275452,0.03674314,0.00958514,-0.9992789,2.463628,0,0,0
0.09985352,-0.03730204,1.503741,1.047422,-0.4859009,177.9006,-0.3451843,0.03663171,0.008480567,-0.999293,2.480256,0,0,0
0.1198502,-0.03786644,1.504149,1.048212,-0.401123,177.8984,-0.3399353,0.0366706,0.007000754,-0.999303,2.477966,0,0,0
0.1398544,-0.03903413,1.505101,1.049891,-0.3755798,177.8576,-0.3207397,0.03738236,0.006555205,-0.9992797,2.485143,0,0,0
0.1598511,-0.03964179,1.505528,1.050792,-0.3632507,177.8538,-0.319397,0.03744917,0.006340024,-0.9992787,2.537133,0,0,0
0.1798553,-0.04083643,1.506633,1.052621,-0.3729248,177.8515,-0.3113708,0.03748981,0.006508556,-0.9992759,2.546221,0,0,0
0.199852,-0.04158316,1.507383,1.053592,-0.4849243,177.841,-0.2356262,0.03767119,0.008463305,-0.9992545,2.55895,0,0,0
0.2198563,-0.04328476,1.508452,1.055458,-0.841095,177.7438,-0.03179932,0.03936448,0.01467939,-0.9991174,2.576102,0,0,0
0.2398529,-0.04409431,1.508979,1.056373,-1.038116,177.7008,0.04366126,0.04011082,0.01811736,-0.9990311,2.690864,0,0,0
0.2598495,-0.04491509,1.509728,1.057342,-1.280151,177.6356,0.1063463,0.04124488,0.02234081,-0.9988993,2.741954,0,0,0
0.2798538,-0.0457071,1.510122,1.058441,-1.540497,177.5666,0.176872,0.04244326,0.02688331,-0.9987372,2.816194,0,0,0
0.2998505,-0.04803043,1.510454,1.062457,-2.120605,177.366,0.3236579,0.04592381,0.03700293,-0.9982597,2.894012,0,0,0
0.3198547,-0.04877121,1.509831,1.064233,-2.216888,177.3292,0.3728403,0.0465629,0.03868259,-0.9981663,3.120482,0,0,0
0.3398514,-0.04944909,1.509564,1.066366,-2.21051,177.2934,0.3967949,0.047186,0.03857135,-0.9981413,3.164835,0,0,0
0.3598557,-0.05002058,1.509295,1.068743,-2.178375,177.2577,0.4041015,0.04780934,0.03801056,-0.9981332,3.207599,0,0,0
0.3798523,-0.05081737,1.50813,1.074593,-2.068481,177.1464,0.427626,0.04975099,0.03609374,-0.9981095,3.24944,0,0,0
0.3998566,-0.05145188,1.506756,1.081231,-1.941162,177.0067,0.4744025,0.05218836,0.03387322,-0.9980627,3.371214,0,0,0
0.4198532,-0.05149649,1.506233,1.085267,-1.815918,176.8979,0.4645467,0.05408779,0.03168848,-0.9980333,3.521033,0,0,0
0.4398499,-0.05114736,1.506067,1.089617,-1.680878,176.8001,0.400302,0.05579597,0.02933283,-0.9980115,3.633672,0,0,0
0.4598541,-0.05027224,1.506005,1.09914,-1.525635,176.6259,0.08355267,0.05883379,0.02662427,-0.997913,3.731926,0,0,0
0.4798508,-0.0496368,1.505739,1.104548,-1.434052,176.5805,-0.1511841,0.05962819,0.02502647,-0.997907,3.904549,0,0,0
0.499855,-0.04899477,1.505512,1.11023,-1.342834,176.5583,-0.3657837,0.06001614,0.02343486,-0.9979222,3.946303,0,0,0
0.5198517,-0.0475023,1.505464,1.121841,-1.340729,176.5449,-0.6242371,0.06024963,0.02339786,-0.9979092,3.964028,0,0,0
0.539856,-0.04544174,1.506287,1.134349,-2.045441,176.6869,-0.6472168,0.05775467,0.03569208,-0.9976927,3.966004,0,0,0
0.5598526,-0.04418737,1.50645,1.141037,-2.508545,176.7779,-0.6118164,0.0561533,0.0437685,-0.9974626,3.802872,0,0,0
0.5798569,-0.04280783,1.506361,1.148008,-2.842285,176.883,-0.5808105,0.05430869,0.04958664,-0.9972922,3.698882,0,0,0
0.5998535,-0.0398123,1.505211,1.162541,-3.256592,177.0929,-0.4891968,0.05063543,0.05680738,-0.9971004,3.579273,0,0,0
0.6198502,-0.03657169,1.503607,1.177495,-3.576202,177.2942,-0.4745483,0.04711526,0.06237596,-0.9969403,3.338181,0,0,0
0.6398544,-0.03464023,1.502374,1.185369,-3.556396,177.4216,-0.4714355,0.04490017,0.06203084,-0.9970638,3.103749,0,0,0
0.6598511,-0.03254567,1.500682,1.193375,-3.494141,177.533,-0.477478,0.04296352,0.06094639,-0.9972162,2.956249,0,0,0
0.6798553,-0.02817838,1.496939,1.209984,-2.991638,177.771,-0.5270691,0.03884149,0.0521901,-0.9978817,2.82376,0,0,0
0.699852,-0.02565308,1.495002,1.218499,-2.678894,177.9763,-0.5495911,0.03527445,0.04673828,-0.9982841,2.541527,0,0,0
0.7198563,-0.02311197,1.493531,1.227052,-2.38092,178.1705,-0.5603943,0.03189756,0.04154317,-0.9986275,2.308511,0,0,0
0.7398529,-0.01811979,1.490726,1.243967,-2.030701,178.5443,-0.5690308,0.02538912,0.0354351,-0.9990495,2.086566,0,0,0
0.7598495,-0.01258427,1.487414,1.260751,-1.811066,179.0025,-0.6620789,0.01740025,0.03160394,-0.9993491,1.658474,0,0,0
0.7798538,-0.009796996,1.486671,1.26888,-1.620483,179.206,-0.6271667,0.01385243,0.02827889,-0.9995042,1.13832,0,0,0
0.7998505,-0.006975312,1.486189,1.277039,-1.473602,179.3638,-0.5706787,0.01110053,0.02571612,-0.9996078,0.9039564,0,0,0
0.8198547,-0.004308153,1.485167,1.285252,-1.35257,179.4876,-0.449707,0.008940731,0.02360476,-0.9996816,0.7170975,0,0,0
0.8398514,0.003515702,1.481055,1.310504,-0.8505554,179.8808,-0.1240234,0.002080624,0.01484429,-0.9998879,0.5661368,0,0,0
0.8598557,0.005687755,1.479971,1.319053,-0.6165161,179.9734,0.01006453,0.000464202,0.01076008,-0.9999421,0.09065409,0,0,0
0.8798523,0.007755022,1.479601,1.327611,-0.3650208,-179.9545,0.09669857,-0.0007947449,0.006370812,-0.9999795,0.01978234,0,0,0
0.8998566,0.009526979,1.48018,1.336147,-0.05786133,-179.8785,0.1066039,-0.002120836,0.001009949,-0.9999975,0.1136409,0,0,0
0.9198532,0.01259823,1.481851,1.353184,0.2756843,-179.655,-0.06182861,-0.006021924,-0.00481158,-0.9999703,0.20842,0,0,0
0.9398499,0.01546831,1.483477,1.370933,0.6211231,-179.4664,-0.1174927,-0.009312572,-0.01084043,-0.9998978,0.4673002,0,0,0
0.9598541,0.01656584,1.484787,1.380437,0.9029214,-179.4815,-0.1171265,-0.009048083,-0.0157583,-0.9998351,0.688134,0,0,0
0.9798508,0.01744808,1.485972,1.390278,1.268046,-179.5229,-0.09228516,-0.008324932,-0.02212977,-0.9997206,0.6824232,0,0,0
0.999855,0.01903312,1.487404,1.410915,2.043338,-179.4901,-0.2181702,-0.008893251,-0.03565542,-0.9993246,0.6483091,0,0,0
1.019852,0.01958529,1.489099,1.421088,2.162531,-179.42,-0.3604736,-0.01011644,-0.03773433,-0.9992367,0.6963314,0,0,0
1.039856,0.02007933,1.490733,1.431077,1.92659,-179.3279,-0.5325317,-0.01172345,-0.03361899,-0.999366,0.7740492,0,0,0
1.059853,0.02101208,1.493268,1.451312,1.502559,-179.1406,-0.7741394,-0.01499439,-0.02622159,-0.9995437,0.8737969,0,0,0
1.079857,0.02150885,1.494068,1.4721,0.80312,-178.9461,-0.902832,-0.01839144,-0.01401663,-0.9997327,1.076292,0,0,0
1.099854,0.02147729,1.493968,1.482748,0.6603588,-178.896,-0.8630981,-0.01926701,-0.01152518,-0.9997482,1.281764,0,0,0
1.11985,0.02124531,1.493789,1.493483,0.6480889,-178.8423,-0.8058472,-0.02020215,-0.01131104,-0.9997319,1.333689,0,0,0
1.139854,0.02097733,1.493538,1.50426,0.6258463,-178.7723,-0.7098083,-0.02142415,-0.01092286,-0.999711,1.387198,0,0,0
1.159851,0.01973657,1.492885,1.536883,0.1590965,-178.5707,-0.6026001,-0.02494386,-0.002776754,-0.9996852,1.457368,0,0,0
1.179855,0.01891966,1.492047,1.548048,-0.06570435,-178.503,-0.5331421,-0.02612518,0.001146538,-0.9996583,1.655522,0,0,0
1.199852,0.01790435,1.491043,1.559233,-0.2345581,-178.4665,-0.4310913,-0.02676055,0.00409393,-0.9996336,1.718283,0,0,0
1.219856,0.01675491,1.48981,1.570444,-0.3935547,-178.4376,-0.3140564,-0.02726468,0.006868636,-0.9996047,1.746973,0,0,0
1.239853,0.01356484,1.487005,1.592781,-0.5420532,-178.513,-0.03140259,-0.02594928,0.009460302,-0.9996186,1.766579,0,0,0
1.25985,0.009873819,1.484093,1.615103,-0.6257019,-178.5901,0.1654821,-0.02460368,0.0109202,-0.9996378,1.660125,0,0,0
1.279854,0.007507991,1.482603,1.626145,-0.5947266,-178.6563,0.1984581,-0.02344958,0.01037954,-0.9996715,1.546996,0,0,0
1.29985,0.005099755,1.481181,1.637126,-0.5881653,-178.7137,0.2077989,-0.02244715,0.01026501,-0.9996954,1.456965,0,0,0
1.319855,-4.543737E-05,1.479178,1.659016,-0.3631592,-178.8698,0.2575868,-0.01972379,0.006338396,-0.9997853,1.375439,0,0,0
1.339851,-0.00269689,1.4793,1.669657,-0.1080017,-178.9878,0.3045195,-0.01766554,0.001884814,-0.9998423,1.166507,0,0,0
1.359856,-0.005202491,1.479942,1.680094,0.1077132,-179.1109,0.3450373,-0.01551693,-0.001879948,-0.9998778,1.019908,0,0,0
1.379852,-0.01008912,1.481701,1.700733,0.29065,-179.3329,0.3526583,-0.01164184,-0.005072777,-0.9999193,0.8695317,0,0,0
1.399857,-0.01341789,1.481642,1.721384,0.06538236,-179.4629,-0.06546021,-0.009374516,-0.001141137,-0.9999554,0.5947903,0,0,0
1.419853,-0.0147558,1.482668,1.731734,-0.04058838,-179.4865,-0.1911926,-0.008962661,0.0007082928,-0.9999598,0.4284154,0,0,0
1.43985,-0.01566272,1.483792,1.741922,-0.187439,-179.5242,-0.3435059,-0.008305097,0.003271252,-0.9999604,0.3906707,0,0,0
1.459854,-0.01634972,1.485198,1.752179,-0.2710266,-179.5119,-0.4789734,-0.008518576,0.004730518,-0.9999528,0.3426407,0,0,0
1.479851,-0.01745524,1.490564,1.783224,-0.005467304,-179.5082,-0.8486023,-0.00858274,9.542247E-05,-0.9999633,0.3494264,0,0,0
1.499855,-0.01743038,1.492269,1.793999,0.2535527,-179.5144,-0.87323,-0.008474682,-0.004425315,-0.9999546,0.3420692,0,0,0
1.519852,-0.01736115,1.493031,1.805211,0.5859753,-179.5379,-0.8182678,-0.008063843,-0.01022702,-0.9999154,0.3357179,0,0,0
1.539856,-0.0172361,1.493568,1.816803,1.032091,-179.5941,-0.7074585,-0.007083494,-0.01801241,-0.9998128,0.311533,0,0,0
