time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.009796143,-0.0003863126,1.470688,-0.2353031,15.00794,0.9362258,1.581275,0.01578216,-0.2589529,0.965761,0.2548778,0,0,0
0.0297966,-0.001186505,1.469661,-0.2339517,15.38852,0.8760453,1.649069,0.01474114,-0.2653629,0.9640359,0.9335608,0,0,0
0.0497961,-0.002696857,1.467222,-0.2312125,16.38518,0.7190834,1.748975,0.01204035,-0.2820933,0.9593114,0.8677295,0,0,0
0.06979656,-0.004289225,1.464645,-0.2285981,17.4884,0.6020092,1.75859,0.0100212,-0.3005127,0.9537252,0.7002546,0,0,0
0.08979702,-0.005180135,1.463243,-0.2271358,18.17162,0.5517316,1.710141,0.009149137,-0.3118643,0.9500826,0.5716401,0,0,0
0.1097965,-0.006201357,1.461555,-0.2255342,18.8017,0.5204612,1.670087,0.008598929,-0.3222937,0.9466007,0.5162413,0,0,0
0.129797,-0.007077143,1.459825,-0.2238347,19.50631,0.4700522,1.663505,0.007733005,-0.3339107,0.942573,0.4776538,0,0,0
0.1497965,-0.008765846,1.456267,-0.2203125,20.98676,0.3809657,1.694487,0.006207979,-0.3581522,0.9336426,0.4205793,0,0,0
0.1697969,-0.009759068,1.454301,-0.2183084,21.66521,0.3573303,1.693372,0.00579598,-0.3691825,0.9293388,0.3202056,0,0,0
0.1897964,-0.01164962,1.45012,-0.2141748,23.00504,0.3017608,1.684113,0.004847838,-0.3908122,0.9204577,0.289391,0,0,0
0.2097969,-0.01255885,1.448424,-0.2118048,23.77954,0.2955289,1.747367,0.004720041,-0.4032186,0.9150915,0.220287,0,0,0
0.2297964,-0.0145117,1.445007,-0.206734,25.25341,0.3303695,1.678995,0.005214945,-0.4266226,0.9044147,0.2093567,0,0,0
0.2497969,-0.01547027,1.443078,-0.2039331,25.86336,0.3455008,1.662554,0.005426098,-0.4362264,0.8998206,0.2289973,0,0,0
0.2697964,-0.01650035,1.441108,-0.2011321,26.4922,0.356536,1.600673,0.005569274,-0.446076,0.8949778,0.2373883,0,0,0
0.2897968,-0.01854593,1.437207,-0.1953404,27.79526,0.3921118,1.495012,0.006053973,-0.4663134,0.8845989,0.2406627,0,0,0
0.3097963,-0.02068053,1.434224,-0.1882354,28.82592,0.4621117,1.414254,0.007065902,-0.48215,0.8760601,0.2631872,0,0,0
0.3297968,-0.02181801,1.432729,-0.1842978,29.21799,0.4681942,1.349475,0.007131779,-0.4881337,0.8727397,0.3177519,0,0,0
0.3497963,-0.02295022,1.431006,-0.1803761,29.62541,0.484562,1.284377,0.007351555,-0.4943275,0.8692447,0.315279,0,0,0
0.3697968,-0.02415035,1.429493,-0.1763477,30.03253,0.5015095,1.248409,0.007577732,-0.5004916,0.8657083,0.3238513,0,0,0
0.3897963,-0.02738032,1.425194,-0.1628502,30.7735,0.5241565,1.051149,0.007860042,-0.5116456,0.8591607,0.3316129,0,0,0
0.4097967,-0.02839698,1.423667,-0.1574924,30.6328,0.5751937,0.9546607,0.008637939,-0.5095341,0.8604071,0.332791,0,0,0
0.4297962,-0.02930503,1.421962,-0.1521345,30.50114,0.5863791,0.8435317,0.008817868,-0.5075555,0.8615739,0.3763854,0,0,0
0.4497967,-0.03012085,1.420377,-0.1464641,30.35168,0.6028676,0.7810792,0.009079712,-0.5053062,0.8628924,0.3810355,0,0,0
0.4697962,-0.03150056,1.417592,-0.1343582,30.25428,0.6447962,0.7614254,0.009720819,-0.5038384,0.8637432,0.3906707,0,0,0
0.4897966,-0.0327721,1.41498,-0.1220417,30.43305,0.6982231,0.6959665,0.01050702,-0.5065312,0.8621576,0.4228991,0,0,0
0.5097961,-0.03324015,1.414292,-0.1154988,30.59841,0.7497185,0.6905527,0.01126272,-0.5090175,0.8606825,0.4668813,0,0,0
0.5297966,-0.03367589,1.413843,-0.1085612,30.66723,0.8208635,0.7285148,0.01232267,-0.510051,0.8600559,0.5147229,0,0,0
0.5497961,-0.03418033,1.413209,-0.09428802,30.71099,0.9269472,0.8150367,0.01390874,-0.5107078,0.8596418,0.5831623,0,0,0
0.5697966,-0.03434973,1.412854,-0.08653864,30.58549,1.005153,0.8266339,0.01510168,-0.5088233,0.8607385,0.6849989,0,0,0
0.589797,-0.03436854,1.412449,-0.07826635,30.31644,1.078349,0.8710538,0.01624607,-0.5047754,0.8630978,0.7620752,0,0,0
0.6097965,-0.03394876,1.410497,-0.05194291,28.99845,1.077419,1.08258,0.01644607,-0.4847859,0.8744782,0.8346253,0,0,0
0.629797,-0.03362738,1.408991,-0.04265705,28.44893,0.9744554,1.103727,0.01495295,-0.4763752,0.8791149,0.8360308,0,0,0
0.6497965,-0.03327746,1.407423,-0.0334383,28.12875,0.9195371,1.087217,0.01415281,-0.4714544,0.8817769,0.7346201,0,0,0
0.6697969,-0.03271541,1.406222,-0.0238553,27.89739,0.8355097,1.029403,0.01288727,-0.4678895,0.883693,0.6821364,0,0,0
0.6897964,-0.03128707,1.404141,-0.003745347,27.27078,0.5899773,0.8461486,0.009152379,-0.4581963,0.888804,0.6023093,0,0,0
0.7097969,-0.03029422,1.403135,0.006637871,26.95592,0.4581041,0.7217704,0.007126691,-0.453305,0.891327,0.3658403,0,0,0
0.7297964,-0.02918515,1.402257,0.01719996,26.61791,0.3635305,0.5666412,0.005672307,-0.4480385,0.8939962,0.2406627,0,0,0
0.7497969,-0.02672288,1.400697,0.03843093,25.85472,0.207867,0.3617913,0.003264807,-0.4360907,0.8998968,0.1545051,0,0,0
0.7697964,-0.02316918,1.400654,0.06056589,24.84513,-0.04159546,0.323288,-0.0006585998,-0.4201671,0.9074465,0.01978234,0,0,0
0.7897968,-0.02113542,1.401077,0.0717333,24.21145,-0.210907,0.2903031,-0.00335732,-0.4101054,0.912032,0.20842,0,0,0
0.8097963,-0.01921079,1.401963,0.08304083,23.49781,-0.3599548,0.2308323,-0.005761271,-0.3987139,0.9170573,0.3631561,0,0,0
0.8297968,-0.01507032,1.405901,0.106213,22.36249,-0.7189636,0.1786749,-0.01160408,-0.380465,0.9247225,0.4992853,0,0,0
0.8497963,-0.01276153,1.410428,0.1187953,22.26276,-0.9856567,0.1891942,-0.01592002,-0.3788546,0.9253193,0.828271,0,0,0
0.8697968,-0.008427836,1.416614,0.1423361,21.46687,-1.300232,-0.05249023,-0.02111734,-0.3659632,0.9303897,1.07829,0,0,0
0.8897963,-0.006906085,1.419439,0.1527231,21.21259,-1.281372,-0.1004333,-0.02084737,-0.3618294,0.9320112,1.361713,0,0,0
0.9097967,-0.004048236,1.427119,0.1738055,20.98448,-1.370026,-0.08847046,-0.02232334,-0.358115,0.9334106,1.33178,0,0,0
0.9297962,-0.002817564,1.429718,0.1839816,20.77944,-1.568787,0.1033432,-0.02559604,-0.3547715,0.9346026,1.399836,0,0,0
0.9497967,-0.001651406,1.43194,0.1944022,20.43597,-1.746826,0.2980787,-0.02856482,-0.3491604,0.9366275,1.589424,0,0,0
0.9697962,-0.0005611181,1.434998,0.2051293,20.2006,-1.884094,0.4836228,-0.03085532,-0.345308,0.9379821,1.759141,0,0,0
0.9897966,0.002016827,1.445254,0.238123,19.80344,-2.096222,0.7198429,-0.03441473,-0.3387944,0.9402308,1.888237,0,0,0
1.009796,0.002519727,1.447519,0.2489719,19.87112,-2.144501,0.7467253,-0.03519169,-0.3399055,0.9398009,2.081119,0,0,0
1.029797,0.002970412,1.449179,0.2596397,19.99431,-2.239532,0.7035589,-0.03672202,-0.3419268,0.9390088,2.12578,0,0,0
1.049796,0.003924005,1.45164,0.2813278,20.46729,-2.446198,0.723545,-0.03998708,-0.3496725,0.9360183,2.217438,0,0,0
1.069797,0.004328385,1.452043,0.2924566,20.72868,-2.550446,0.724604,-0.04161835,-0.3539431,0.9343405,2.417109,0,0,0
1.089797,0.004674867,1.452001,0.3037121,20.99915,-2.625763,0.7450329,-0.04276957,-0.358354,0.9326056,2.518239,0,0,0
1.109797,0.005391248,1.451563,0.326471,21.59141,-2.777069,0.7944113,-0.04505021,-0.3679852,0.9287397,2.590877,0,0,0
1.129797,0.005617958,1.450392,0.3510252,22.23221,-2.90976,0.9791756,-0.04698914,-0.3783612,0.9244646,2.736881,0,0,0
1.149796,0.005554941,1.449321,0.3640501,22.35681,-3.001556,1.123746,-0.04842731,-0.3803734,0.9235643,2.867579,0,0,0
1.169797,0.005432855,1.44803,0.3769447,22.53311,-3.086304,1.240496,-0.04972972,-0.3832172,0.9223186,2.959889,0,0,0
1.189796,0.004984905,1.446609,0.3900039,22.82242,-3.148651,1.317754,-0.05062651,-0.3878762,0.92032,3.045426,0,0,0
1.209797,0.003234693,1.441411,0.4299274,23.83557,-3.337524,1.492341,-0.05325256,-0.4041132,0.9131575,3.111183,0,0,0
1.229796,0.002319593,1.439101,0.4436148,24.28463,-3.437286,1.584328,-0.05465062,-0.4112698,0.9098738,3.313044,0,0,0
1.249797,0.001276758,1.437033,0.4575415,24.68696,-3.531982,1.696869,-0.0559751,-0.4176603,0.9068774,3.419649,0,0,0
1.269796,0.0001165457,1.435175,0.4718993,24.98056,-3.6427,1.785027,-0.05759064,-0.4223107,0.9046198,3.522311,0,0,0
1.289797,-0.002768165,1.431345,0.5008289,25.18102,-3.784241,1.941078,-0.0597275,-0.4254795,0.9029949,3.641854,0,0,0
