time,phase,posX,posY,posZ,rotX,rotY,rotZ
0,0,-0.5361907,1.516678,1.381396,-4.021332,2.747372,1.377785
0.01629639,0,-0.53711,1.516598,1.380675,-3.999725,2.839608,1.467707
0.03164673,0,-0.5380285,1.516517,1.379844,-3.942871,2.960249,1.518433
0.04788208,0,-0.5398679,1.516437,1.378195,-3.872223,3.198765,1.568569
0.06375122,0,-0.5408874,1.516421,1.377264,-3.836823,3.329933,1.603199
0.08010864,0,-0.5429156,1.516336,1.375357,-3.768799,3.555875,1.701915
0.09545898,0,-0.5439697,1.516282,1.374277,-3.738617,3.637876,1.737792
0.1114502,0,-0.5461358,1.516279,1.371961,-3.686096,3.840794,1.711271
0.127594,0,-0.5473389,1.51611,1.370639,-3.676727,3.986458,1.599754
0.1434937,0,-0.5496503,1.515696,1.36771,-3.557861,4.244731,1.443362
0.1611023,0,-0.5509203,1.515262,1.366088,-3.47345,4.389764,1.374486
0.1773071,0,-0.5533548,1.514715,1.362791,-3.338867,4.613221,1.295391
0.1942444,0,-0.5546271,1.51488,1.361106,-3.327911,4.709404,1.281806
0.2104492,0,-0.5572051,1.514859,1.357638,-3.365479,4.937563,1.207495
0.2278748,0,-0.5584447,1.514853,1.355444,-3.382996,5.043984,1.202175
0.2440186,0,-0.560992,1.515228,1.350832,-3.333435,5.222782,1.220391
0.2612305,0,-0.5620715,1.515357,1.347933,-3.400238,5.258814,1.280178
0.2774658,0,-0.5642608,1.515353,1.342232,-3.634369,5.428773,1.20775
0.2951965,0,-0.565268,1.515356,1.338984,-3.924347,5.566941,1.093378
0.3109131,0,-0.567243,1.515561,1.332182,-4.403076,5.77144,0.9992995
0.3280029,0,-0.5681146,1.515787,1.328039,-4.585663,5.785731,1.025578
0.3443909,0,-0.5689535,1.515807,1.323517,-4.569427,5.794337,1.080193
0.36026,0,-0.5705305,1.515892,1.314101,-4.463135,5.843883,1.09329
0.3763428,0,-0.5712115,1.515783,1.308405,-4.235901,5.852891,1.079439
0.3922424,0,-0.5726113,1.515333,1.297075,-4.025055,5.923223,1.041686
0.4090271,0,-0.5731389,1.515362,1.290881,-3.973022,5.919944,1.030166
0.4250183,0,-0.5739843,1.515816,1.278575,-4.27478,5.894228,1.037555
0.4414368,0,-0.5742298,1.516141,1.272332,-4.826385,5.836964,1.083116
0.4574585,0,-0.5744947,1.5161,1.259485,-5.666046,5.753583,1.139669
